doc_id,D,sex,score_x,score_y
1,1,male,0.99278,0.99278
2,2,male,0.89587,0.89587
5,5,male,0.87274,0.87274
3,3,male,0.89038,0.89038
6,6,male,0.87269,0.87269
10,10,male,0.80442,0.80442
4,4,male,0.88478,0.88478
11,11,female,0.80341,0.80341
9,9,male,0.81737,0.81737
12,12,male,0.79715,0.79715
7,7,male,0.82316,0.82316
14,14,female,0.78157,0.78157
8,8,female,0.82278,0.82278
15,15,male,0.77592,0.77592
16,16,female,0.76832,0.76832
13,13,male,0.78826,0.78826
17,17,male,0.76168,0.76168
18,18,female,0.75675,0.75675
19,19,male,0.75589,0.75589
20,20,male,0.75465,0.75465
21,21,female,0.75259,0.75259
22,22,female,0.74987,0.74987
23,23,male,0.74953,0.74953
24,24,male,0.74327,0.74327
25,25,male,0.74112,0.74112
26,26,female,0.73247,0.73247
27,27,male,0.73027,0.73027
28,28,female,0.72486,0.72486
29,29,female,0.72137,0.72137
30,30,male,0.71463,0.71463
31,31,female,0.71224,0.71224
32,32,male,0.70952,0.70952
33,33,female,0.7023,0.7023
34,34,female,0.69011,0.69011
35,35,male,0.66879,0.66879
36,36,female,0.66104,0.66104
37,37,female,0.65664,0.65664
38,38,female,0.65497,0.65497
39,39,female,0.65115,0.65115
40,40,female,0.62523,0.62523
41,41,female,0.60687,0.60687
42,42,female,0.58603,0.58603
43,43,female,0.54496,0.54496
44,44,female,0.52288,0.52288
45,45,male,0.52245,0.52245
46,46,male,0.4755,0.4755
47,47,female,0.47445,0.47445
48,48,female,0.47206,0.47206
49,49,female,0.43921,0.43921
50,50,male,0.38734,0.38734
