doc_id,Gender,predictions,GT_score,Gender.1
1,male,0.95745,0.95745,male
2,male,0.87618,0.87618,male
3,male,0.87278,0.87278,male
4,male,0.87235,0.87235,male
5,male,0.87101,0.87101,male
6,male,0.86881,0.86881,male
7,male,0.86188,0.86188,male
8,male,0.84821,0.84821,male
9,male,0.83922,0.83922,male
10,male,0.82239,0.82239,male
11,male,0.82015,0.82015,male
12,male,0.81733,0.81733,male
13,male,0.8157,0.8157,male
14,male,0.80824,0.80824,male
15,male,0.80796,0.80796,male
16,male,0.80203,0.80203,male
17,male,0.80002,0.80002,male
18,female,0.79342,0.79342,female
19,male,0.79247,0.79247,male
20,male,0.79204,0.79204,male
21,male,0.78984,0.78984,male
22,male,0.78553,0.78553,male
23,female,0.77138,0.77138,female
24,male,0.77071,0.77071,male
25,male,0.76579,0.76579,male
26,male,0.76407,0.76407,male
27,female,0.75938,0.75938,female
28,female,0.7568,0.7568,female
29,male,0.75561,0.75561,male
30,female,0.75336,0.75336,female
31,female,0.74676,0.74676,female
32,female,0.74662,0.74662,female
33,male,0.74609,0.74609,male
34,male,0.7459,0.7459,male
35,female,0.7449,0.7449,female
36,female,0.74427,0.74427,female
37,male,0.74079,0.74079,male
38,female,0.73691,0.73691,female
39,female,0.73629,0.73629,female
40,male,0.73314,0.73314,male
41,female,0.73218,0.73218,female
42,male,0.72683,0.72683,male
43,male,0.72539,0.72539,male
44,female,0.72496,0.72496,female
45,female,0.72486,0.72486,female
46,female,0.7219,0.7219,female
47,male,0.72147,0.72147,male
48,female,0.72075,0.72075,female
49,female,0.71822,0.71822,female
50,female,0.71626,0.71626,female
51,female,0.71573,0.71573,female
52,female,0.71569,0.71569,female
53,female,0.712,0.712,female
54,female,0.71009,0.71009,female
55,female,0.70746,0.70746,female
56,female,0.70244,0.70244,female
57,male,0.70177,0.70177,male
58,female,0.69867,0.69867,female
59,female,0.6958,0.6958,female
60,female,0.69336,0.69336,female
61,male,0.68757,0.68757,male
62,male,0.68753,0.68753,male
63,female,0.68753,0.68753,female
64,female,0.68542,0.68542,female
65,female,0.68318,0.68318,female
66,male,0.68026,0.68026,male
67,female,0.67228,0.67228,female
68,female,0.66893,0.66893,female
70,female,0.66195,0.66195,female
69,female,0.66195,0.66195,female
71,female,0.65636,0.65636,female
72,female,0.64378,0.64378,female
73,female,0.64264,0.64264,female
74,male,0.64111,0.64111,male
75,male,0.63833,0.63833,male
76,male,0.63828,0.63828,male
77,female,0.63279,0.63279,female
78,female,0.63279,0.63279,female
79,male,0.62676,0.62676,male
80,female,0.59774,0.59774,female
81,female,0.59727,0.59727,female
82,male,0.59043,0.59043,male
83,female,0.5801,0.5801,female
84,male,0.57814,0.57814,male
85,female,0.57623,0.57623,female
86,female,0.57585,0.57585,female
87,female,0.57312,0.57312,female
88,male,0.57236,0.57236,male
89,male,0.567,0.567,male
90,male,0.56528,0.56528,male
91,male,0.56366,0.56366,male
92,female,0.56203,0.56203,female
93,female,0.53287,0.53287,female
94,female,0.52536,0.52536,female
95,female,0.52187,0.52187,female
96,female,0.483,0.483,female
97,male,0.43907,0.43907,male
98,male,0.43682,0.43682,male
99,male,0.41215,0.41215,male
100,male,0.35225,0.35225,male
