doc_id,Gender,predictions,GT_score,Gender
1,male,0.99278,0.99278,male
2,male,0.90209,0.90209,male
7,female,0.85834,0.85834,female
3,male,0.89602,0.89602,male
8,female,0.85744,0.85744,female
18,female,0.81159,0.81159,female
4,male,0.8714,0.8714,male
20,female,0.80351,0.80351,female
5,male,0.86714,0.86714,male
23,female,0.78826,0.78826,female
26,female,0.78157,0.78157,female
6,male,0.86399,0.86399,male
28,female,0.76789,0.76789,female
9,male,0.85576,0.85576,male
29,female,0.76407,0.76407,female
31,female,0.74872,0.74872,female
10,male,0.85232,0.85232,male
34,female,0.74298,0.74298,female
11,male,0.84066,0.84066,male
36,female,0.73242,0.73242,female
37,female,0.73055,0.73055,female
12,male,0.83956,0.83956,male
38,female,0.72716,0.72716,female
13,male,0.83028,0.83028,male
42,female,0.72568,0.72568,female
46,female,0.71095,0.71095,female
14,male,0.82861,0.82861,male
47,female,0.71047,0.71047,female
15,male,0.82794,0.82794,male
49,female,0.71033,0.71033,female
51,female,0.70603,0.70603,female
16,male,0.82015,0.82015,male
52,female,0.70545,0.70545,female
17,male,0.81197,0.81197,male
54,female,0.70244,0.70244,female
57,female,0.69948,0.69948,female
19,male,0.80614,0.80614,male
58,female,0.69623,0.69623,female
21,male,0.79481,0.79481,male
62,female,0.68322,0.68322,female
63,female,0.66381,0.66381,female
22,male,0.78912,0.78912,male
66,female,0.6521,0.6521,female
24,male,0.7851,0.7851,male
68,female,0.65038,0.65038,female
69,female,0.64828,0.64828,female
25,male,0.7831,0.7831,male
71,female,0.64761,0.64761,female
27,male,0.77482,0.77482,male
72,female,0.64498,0.64498,female
73,female,0.6337,0.6337,female
30,male,0.76072,0.76072,male
74,female,0.6336,0.6336,female
32,male,0.747,0.747,male
76,female,0.63164,0.63164,female
78,female,0.60683,0.60683,female
33,male,0.74609,0.74609,male
79,female,0.60267,0.60267,female
35,male,0.74083,0.74083,male
81,female,0.59688,0.59688,female
82,female,0.59239,0.59239,female
39,male,0.72692,0.72692,male
84,female,0.57446,0.57446,female
40,male,0.72649,0.72649,male
86,female,0.55998,0.55998,female
87,female,0.55013,0.55013,female
41,male,0.72573,0.72573,male
88,female,0.53602,0.53602,female
43,male,0.72037,0.72037,male
90,female,0.52235,0.52235,female
91,female,0.50084,0.50084,female
44,male,0.7187,0.7187,male
92,female,0.49778,0.49778,female
45,male,0.71492,0.71492,male
93,female,0.48946,0.48946,female
94,female,0.48401,0.48401,female
48,male,0.71043,0.71043,male
95,female,0.47206,0.47206,female
50,male,0.70823,0.70823,male
96,female,0.44184,0.44184,female
97,female,0.43921,0.43921,female
53,male,0.70512,0.70512,male
98,female,0.42157,0.42157,female
55,male,0.70192,0.70192,male
100,female,0.33566,0.33566,female
56,male,0.69996,0.69996,male
59,male,0.69183,0.69183,male
60,male,0.6914,0.6914,male
61,male,0.686,0.686,male
64,male,0.66128,0.66128,male
65,male,0.65994,0.65994,male
67,male,0.65167,0.65167,male
70,male,0.64804,0.64804,male
75,male,0.63312,0.63312,male
77,male,0.62552,0.62552,male
80,male,0.59803,0.59803,male
83,male,0.58589,0.58589,male
85,male,0.56887,0.56887,male
89,male,0.52794,0.52794,male
99,male,0.37515,0.37515,male
