doc_id,Gender,Career Points
1,male,26395
2,male,11995
3,male,10689
4,female,4004
5,male,3940
6,male,3251
7,female,3001
8,male,2800
9,female,2353
10,female,2247
11,female,1918
12,male,1506
13,female,1408
14,male,1123
15,male,1109
16,male,1057
17,male,987
18,male,910
19,female,794
20,male,625
21,male,522
22,male,488
23,male,482
24,female,424
25,female,346
26,female,309
27,female,304
28,female,247
29,female,217
30,female,163
31,male,152
32,male,128
33,male,117
34,female,107
35,female,100
36,female,99
37,female,98
38,female,88
39,female,82
40,female,79
41,male,45
42,male,40
43,female,25
44,male,25
45,female,22
46,female,21
47,female,10
48,male,7
49,male,3
50,male,2
