doc_id,sex,score,ZFYA
1,male,3.25,3.25
2,female,2.93,2.93
3,male,2.39,2.39
4,female,1.63,1.63
5,male,1.55,1.55
6,female,1.53,1.53
7,male,1.28,1.28
8,male,1.15,1.15
9,female,1.08,1.08
16,female,0.66,0.66
17,female,0.64,0.64
18,female,0.64,0.64
19,female,0.56,0.56
20,female,0.46,0.46
10,male,1.03,1.03
11,female,1.02,1.02
12,male,0.86,0.86
14,male,0.82,0.82
13,male,0.82,0.82
15,male,0.69,0.69
25,female,0.03,0.03
28,female,0.0,0.0
29,female,-0.26,-0.26
21,male,0.28,0.28
22,male,0.11,0.11
23,male,0.08,0.08
24,male,0.08,0.08
27,male,0.01,0.01
26,male,0.01,0.01
30,male,-0.31,-0.31
31,male,-0.32,-0.32
32,female,-0.33,-0.33
33,female,-0.36,-0.36
34,male,-0.39,-0.39
35,male,-0.4,-0.4
36,female,-0.41,-0.41
37,male,-0.44,-0.44
38,male,-0.61,-0.61
39,female,-0.67,-0.67
40,female,-0.69,-0.69
41,female,-0.7,-0.7
42,male,-0.82,-0.82
43,female,-0.84,-0.84
44,female,-0.89,-0.89
45,male,-1.04,-1.04
46,female,-1.41,-1.41
47,female,-1.62,-1.62
48,female,-1.82,-1.82
49,male,-1.83,-1.83
50,female,-1.83,-1.83
