doc_id,D,sex,Points,Career Points
1,1,male,19760,19760
2,2,male,13859,13859
9,9,female,2747,2747
3,3,male,12683,12683
11,11,female,2353,2353
17,17,female,1061,1061
4,4,male,11136,11136
19,19,female,759,759
5,5,male,7251,7251
21,21,female,561,561
6,6,male,4797,4797
22,22,female,521,521
7,7,male,4368,4368
25,25,female,309,309
8,8,male,3889,3889
26,26,female,272,272
10,10,male,2376,2376
27,27,female,261,261
12,12,male,1863,1863
28,28,female,224,224
13,13,male,1802,1802
30,30,female,163,163
14,14,male,1436,1436
32,32,female,147,147
15,15,male,1391,1391
34,34,female,107,107
16,16,male,1200,1200
35,35,female,94,94
18,18,male,1052,1052
37,37,female,82,82
20,20,male,700,700
38,38,female,65,65
23,23,male,488,488
39,39,female,60,60
24,24,male,397,397
41,41,female,53,53
29,29,male,193,193
42,42,female,50,50
31,31,male,147,147
44,44,female,30,30
33,33,male,144,144
46,46,female,24,24
36,36,male,85,85
47,47,female,17,17
40,40,male,58,58
48,48,female,16,16
43,43,male,44,44
49,49,male,13,13
45,45,female,26,26
50,50,female,9,9
