,doc_id,Gender,predictions,GT_score,Gender.1
0,419,male,7250,7250,male
1,427,male,6500,6500,male
2,74,male,5266,5266,male
3,947,male,5119,5119,male
4,294,female,4666,4666,female
5,854,female,3833,3833,female
6,29,female,3750,3750,female
7,59,male,3357,3357,male
8,671,female,3250,3250,female
9,637,male,3150,3150,male
10,720,male,3125,3125,male
11,659,female,2779,2779,female
12,142,male,2698,2698,male
13,309,female,2507,2507,female
14,337,female,2378,2378,female
15,649,male,2356,2356,male
16,399,female,1963,1963,female
17,767,female,1750,1750,female
18,928,male,1516,1516,male
19,716,female,0,0,female
