doc_id,D,sex,score_x,score_y
1,1,male,0.96104,0.96104
2,2,male,0.89143,0.89143
9,9,female,0.81011,0.81011
3,3,male,0.87575,0.87575
12,12,female,0.79079,0.79079
18,18,female,0.75953,0.75953
4,4,male,0.86705,0.86705
19,19,female,0.74915,0.74915
5,5,male,0.86298,0.86298
20,20,female,0.74494,0.74494
6,6,male,0.84438,0.84438
22,22,female,0.73849,0.73849
7,7,male,0.82584,0.82584
23,23,female,0.73443,0.73443
24,24,female,0.72114,0.72114
8,8,male,0.8168,0.8168
26,26,female,0.71449,0.71449
10,10,male,0.80203,0.80203
27,27,female,0.71095,0.71095
28,28,female,0.70933,0.70933
11,11,male,0.79481,0.79481
31,31,female,0.68189,0.68189
13,13,male,0.78668,0.78668
32,32,female,0.68074,0.68074
14,14,male,0.78611,0.78611
34,34,female,0.66314,0.66314
15,15,male,0.78472,0.78472
35,35,female,0.66195,0.66195
16,16,male,0.77028,0.77028
36,36,female,0.63589,0.63589
17,17,male,0.76407,0.76407
37,37,female,0.62442,0.62442
38,38,female,0.62222,0.62222
39,39,female,0.61964,0.61964
21,21,male,0.74437,0.74437
41,41,female,0.58197,0.58197
44,44,female,0.5736,0.5736
25,25,male,0.71526,0.71526
45,45,female,0.57049,0.57049
29,29,male,0.69776,0.69776
46,46,female,0.54453,0.54453
30,30,male,0.68738,0.68738
48,48,female,0.44787,0.44787
33,33,male,0.67777,0.67777
50,50,female,0.3643,0.3643
40,40,male,0.60425,0.60425
42,42,male,0.57977,0.57977
43,43,male,0.57709,0.57709
47,47,male,0.53005,0.53005
49,49,male,0.41311,0.41311
