doc_id,D,sex,score_x,score_y
1,1,male,0.96137,0.96137
3,3,female,0.87517,0.87517
2,2,male,0.88163,0.88163
7,7,female,0.85189,0.85189
4,4,male,0.86528,0.86528
5,5,male,0.86528,0.86528
6,6,male,0.86217,0.86217
10,10,female,0.80442,0.80442
11,11,female,0.78462,0.78462
8,8,male,0.81924,0.81924
12,12,female,0.78094,0.78094
9,9,male,0.80996,0.80996
14,14,female,0.77549,0.77549
13,13,male,0.78042,0.78042
17,17,female,0.75494,0.75494
15,15,male,0.77267,0.77267
18,18,female,0.75326,0.75326
19,19,female,0.75202,0.75202
16,16,male,0.76182,0.76182
23,23,female,0.72965,0.72965
20,20,male,0.74561,0.74561
21,21,male,0.74471,0.74471
25,25,female,0.72855,0.72855
22,22,male,0.73337,0.73337
24,24,male,0.72955,0.72955
27,27,female,0.71526,0.71526
26,26,male,0.72792,0.72792
29,29,female,0.71091,0.71091
28,28,male,0.7143,0.7143
31,31,female,0.69905,0.69905
30,30,male,0.70412,0.70412
32,32,female,0.69757,0.69757
35,35,female,0.68882,0.68882
33,33,male,0.6969,0.6969
37,37,female,0.6816,0.6816
34,34,male,0.68887,0.68887
38,38,female,0.66984,0.66984
36,36,male,0.68657,0.68657
39,39,female,0.64627,0.64627
40,40,female,0.6435,0.6435
42,42,female,0.61558,0.61558
45,45,female,0.56093,0.56093
41,41,male,0.62332,0.62332
43,43,male,0.60319,0.60319
44,44,male,0.59832,0.59832
46,46,female,0.50414,0.50414
47,47,female,0.48802,0.48802
49,49,female,0.46489,0.46489
48,48,male,0.48162,0.48162
50,50,male,0.45193,0.45193
