doc_id,D,sex,score_x,score_y
1,1,male,0.99278,0.99278
2,2,male,0.86399,0.86399
10,10,female,0.7711,0.7711
3,3,male,0.83956,0.83956
13,13,female,0.75532,0.75532
14,14,female,0.75345,0.75345
4,4,male,0.81154,0.81154
16,16,female,0.74184,0.74184
5,5,male,0.80313,0.80313
18,18,female,0.73973,0.73973
19,19,female,0.73127,0.73127
6,6,male,0.78348,0.78348
20,20,female,0.73055,0.73055
7,7,male,0.78338,0.78338
24,24,female,0.72601,0.72601
8,8,male,0.77573,0.77573
25,25,female,0.70373,0.70373
9,9,male,0.77119,0.77119
27,27,female,0.69828,0.69828
11,11,male,0.77019,0.77019
29,29,female,0.69307,0.69307
12,12,male,0.76646,0.76646
32,32,female,0.68413,0.68413
15,15,male,0.75345,0.75345
33,33,female,0.68007,0.68007
17,17,male,0.74136,0.74136
35,35,female,0.67041,0.67041
21,21,male,0.72945,0.72945
36,36,female,0.66314,0.66314
22,22,male,0.72879,0.72879
37,37,female,0.66214,0.66214
23,23,male,0.72702,0.72702
38,38,female,0.65856,0.65856
26,26,male,0.70244,0.70244
39,39,female,0.63255,0.63255
28,28,male,0.69532,0.69532
40,40,female,0.62767,0.62767
30,30,male,0.68729,0.68729
41,41,female,0.6162,0.6162
31,31,male,0.68423,0.68423
42,42,female,0.579,0.579
34,34,male,0.67218,0.67218
43,43,female,0.57633,0.57633
44,44,female,0.5551,0.5551
45,45,male,0.54506,0.54506
47,47,female,0.44667,0.44667
49,49,female,0.38022,0.38022
46,46,male,0.47196,0.47196
48,48,male,0.38509,0.38509
50,50,male,0.32533,0.32533
