doc_id,D,sex,Points,Career Points
1,1,male,26395,26395
5,5,female,4435,4435
7,7,female,4323,4323
2,2,male,5953,5953
8,8,female,3534,3534
3,3,male,4889,4889
9,9,female,3353,3353
4,4,male,4494,4494
12,12,female,2247,2247
6,6,male,4368,4368
18,18,female,1458,1458
10,10,male,2795,2795
19,19,female,1377,1377
11,11,male,2638,2638
13,13,male,2237,2237
24,24,female,503,503
14,14,male,1600,1600
25,25,female,453,453
15,15,male,1578,1578
26,26,female,350,350
16,16,male,1515,1515
29,29,female,296,296
17,17,male,1478,1478
30,30,female,288,288
20,20,male,1342,1342
31,31,female,240,240
21,21,male,767,767
32,32,female,224,224
22,22,male,753,753
33,33,female,208,208
23,23,male,751,751
34,34,female,194,194
27,27,male,349,349
37,37,female,121,121
28,28,male,301,301
38,38,female,100,100
39,39,female,94,94
35,35,male,150,150
36,36,male,147,147
40,40,male,86,86
41,41,female,82,82
42,42,male,68,68
43,43,female,65,65
44,44,female,34,34
45,45,female,27,27
46,46,female,22,22
47,47,male,15,15
48,48,female,9,9
49,49,male,6,6
50,50,male,6,6
