,doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender.1
0,1738,male,3.7,45.0,1.8,1.8,male
1,17487,male,2.8,41.0,1.68,1.68,male
2,12624,male,3.0,32.0,1.24,1.24,male
3,11791,male,3.6,43.0,1.05,1.05,male
4,17355,female,3.8,37.0,0.94,0.94,female
5,12518,male,2.4,39.0,0.87,0.87,male
6,6357,female,2.8,37.0,0.42,0.42,female
7,17890,female,3.7,37.0,0.41,0.41,female
8,12039,female,3.7,33.0,0.3,0.3,female
9,11970,male,3.8,29.0,0.28,0.28,male
10,17699,male,2.9,38.0,0.21,0.21,male
11,21017,female,3.3,40.0,0.21,0.21,female
12,3277,female,3.6,29.5,0.17,0.17,female
13,9581,male,3.3,38.0,0.12,0.12,male
14,14783,male,3.3,46.0,-0.5,-0.5,male
15,3906,female,3.0,26.0,-0.65,-0.65,female
16,2377,female,2.8,37.5,-0.82,-0.82,female
17,16410,female,3.9,44.0,-1.31,-1.31,female
18,5359,male,3.7,38.0,-1.58,-1.58,male
19,15948,female,3.0,23.7,-1.62,-1.62,female
