doc_id,Gender,Career Points
1,male,25192
2,male,18203
3,male,17345
4,male,15136
5,male,9732
6,female,4004
7,female,3534
8,female,3353
9,male,3119
10,male,2963
11,male,2942
12,female,2849
13,male,2595
14,male,2118
15,male,2083
16,female,1935
17,female,1915
18,male,1654
19,female,1186
20,male,896
21,male,855
22,female,827
23,female,818
24,female,667
25,male,566
26,female,561
27,female,448
28,male,435
29,female,423
30,female,382
31,female,319
32,female,304
33,male,285
34,female,224
35,male,205
36,female,158
37,male,154
38,female,149
39,female,147
40,male,137
41,female,98
42,female,94
43,male,54
44,female,30
45,male,23
46,female,22
47,female,16
48,male,6
49,male,2
50,male,2
