doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,3.4,47.0,2.67,2.67,male
2,female,2.7,36.0,2.01,2.01,female
3,female,4.0,47.0,1.83,1.83,female
4,male,3.0,40.0,1.75,1.75,male
5,female,3.5,33.5,1.56,1.56,female
6,male,2.3,44.0,1.34,1.34,male
7,male,3.5,45.0,1.29,1.29,male
13,female,3.4,43.0,0.77,0.77,female
8,male,3.3,42.0,1.12,1.12,male
14,female,3.5,39.0,0.76,0.76,female
15,female,3.5,44.0,0.61,0.61,female
9,male,2.8,31.0,1.1,1.1,male
16,female,3.3,36.0,0.57,0.57,female
10,male,2.8,35.0,0.96,0.96,male
18,female,3.2,44.0,0.48,0.48,female
19,female,3.2,41.5,0.43,0.43,female
11,male,2.4,41.0,0.93,0.93,male
21,female,3.6,30.0,0.31,0.31,female
12,male,2.3,40.0,0.82,0.82,male
22,female,3.0,30.0,0.26,0.26,female
26,female,2.3,33.0,0.16,0.16,female
17,male,3.3,34.0,0.55,0.55,male
27,female,3.3,42.0,0.14,0.14,female
20,male,3.1,39.0,0.33,0.33,male
28,female,3.5,33.0,0.09,0.09,female
31,female,2.9,33.0,-0.03,-0.03,female
23,male,3.1,37.0,0.26,0.26,male
32,female,3.1,35.5,-0.04,-0.04,female
24,male,3.7,42.0,0.24,0.24,male
33,female,3.2,39.0,-0.04,-0.04,female
35,female,3.5,38.0,-0.07,-0.07,female
25,male,3.3,43.0,0.19,0.19,male
36,female,3.0,40.0,-0.11,-0.11,female
29,male,3.1,34.0,0.04,0.04,male
41,female,3.2,31.0,-0.51,-0.51,female
42,female,3.2,27.0,-0.7,-0.7,female
30,male,3.3,32.0,-0.01,-0.01,male
45,female,2.7,30.0,-0.97,-0.97,female
34,male,3.6,39.0,-0.05,-0.05,male
48,female,3.2,40.0,-1.8,-1.8,female
49,female,3.5,27.0,-2.04,-2.04,female
37,male,2.8,42.0,-0.16,-0.16,male
50,female,3.3,44.0,-2.1,-2.1,female
38,male,2.7,30.5,-0.17,-0.17,male
39,male,3.6,34.0,-0.28,-0.28,male
40,male,3.4,36.0,-0.45,-0.45,male
43,male,3.7,48.0,-0.75,-0.75,male
44,male,2.4,27.5,-0.79,-0.79,male
46,male,3.2,35.0,-1.33,-1.33,male
47,male,2.9,39.0,-1.53,-1.53,male
