doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,4.0,44.0,3.17,3.17,male
2,female,3.5,38.0,2.54,2.54,female
3,male,3.0,40.0,1.7,1.7,male
4,female,3.6,36.0,1.58,1.58,female
5,male,3.6,41.0,1.36,1.36,male
8,female,3.4,37.0,1.24,1.24,female
6,male,3.3,39.0,1.34,1.34,male
9,female,3.3,45.0,1.24,1.24,female
7,male,3.5,40.0,1.34,1.34,male
10,female,3.3,40.0,1.16,1.16,female
13,female,3.4,31.0,0.96,0.96,female
11,male,3.3,42.0,1.08,1.08,male
12,female,3.5,37.0,0.96,0.96,female
14,female,3.6,43.0,0.84,0.84,female
15,female,3.3,32.0,0.82,0.82,female
16,male,3.0,36.0,0.76,0.76,male
17,male,2.8,38.0,0.68,0.68,male
18,female,3.4,44.0,0.66,0.66,female
19,female,3.7,44.0,0.58,0.58,female
20,female,2.5,38.0,0.52,0.52,female
21,female,3.1,34.0,0.49,0.49,female
22,male,3.1,42.0,0.47,0.47,male
23,male,2.9,40.0,0.42,0.42,male
24,male,3.4,48.0,0.4,0.4,male
26,female,3.5,35.0,0.39,0.39,female
27,female,2.8,40.0,0.26,0.26,female
25,male,3.0,33.0,0.4,0.4,male
28,female,3.7,41.0,0.21,0.21,female
30,female,3.3,46.0,0.2,0.2,female
29,male,3.5,29.0,0.2,0.2,male
32,female,3.9,40.0,0.14,0.14,female
31,male,3.9,41.0,0.17,0.17,male
35,female,3.1,35.5,-0.04,-0.04,female
33,male,3.2,28.0,0.1,0.1,male
36,female,3.4,39.0,-0.06,-0.06,female
38,female,2.7,35.0,-0.28,-0.28,female
34,male,3.8,40.0,0.03,0.03,male
39,female,3.0,34.0,-0.32,-0.32,female
37,male,2.7,30.5,-0.17,-0.17,male
47,female,2.9,40.0,-0.89,-0.89,female
48,female,3.8,41.0,-0.91,-0.91,female
40,male,3.3,40.0,-0.33,-0.33,male
49,female,3.4,34.0,-1.09,-1.09,female
41,male,4.0,42.0,-0.44,-0.44,male
42,male,3.1,33.0,-0.45,-0.45,male
43,male,3.4,35.0,-0.47,-0.47,male
44,male,2.6,39.0,-0.59,-0.59,male
45,male,3.1,34.0,-0.81,-0.81,male
46,male,2.7,26.0,-0.84,-0.84,male
50,male,2.8,27.0,-1.3,-1.3,male
