doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,4.0,44.0,3.17,3.17,male
2,male,4.0,39.0,1.77,1.77,male
3,female,3.0,40.0,1.47,1.47,female
4,female,3.7,39.0,1.31,1.31,female
5,female,4.0,34.0,1.28,1.28,female
6,female,3.2,33.0,1.23,1.23,female
7,female,2.9,28.0,1.14,1.14,female
8,male,3.3,43.0,1.13,1.13,male
9,male,3.8,33.0,1.03,1.03,male
10,male,3.0,39.0,0.82,0.82,male
12,female,3.4,30.0,0.73,0.73,female
11,male,3.0,42.0,0.78,0.78,male
16,female,3.1,34.0,0.49,0.49,female
13,male,3.4,36.0,0.71,0.71,male
18,female,3.0,38.0,0.47,0.47,female
19,female,3.9,41.0,0.46,0.46,female
14,male,3.4,32.0,0.56,0.56,male
22,female,3.6,45.0,0.36,0.36,female
15,male,3.7,40.0,0.55,0.55,male
28,female,3.1,32.7,0.2,0.2,female
30,female,3.1,42.0,0.09,0.09,female
17,male,2.8,43.0,0.48,0.48,male
31,female,3.4,36.0,0.01,0.01,female
20,male,2.6,36.0,0.41,0.41,male
33,female,3.6,33.0,-0.15,-0.15,female
34,female,3.8,41.0,-0.34,-0.34,female
21,male,3.5,36.0,0.39,0.39,male
35,female,3.8,39.0,-0.37,-0.37,female
23,male,3.1,40.0,0.35,0.35,male
36,female,2.9,34.0,-0.42,-0.42,female
37,female,3.2,32.0,-0.44,-0.44,female
24,male,3.0,30.5,0.35,0.35,male
38,female,3.6,41.0,-0.47,-0.47,female
25,male,2.7,34.0,0.33,0.33,male
39,female,3.0,34.0,-0.5,-0.5,female
43,female,3.6,40.0,-0.87,-0.87,female
26,male,2.0,30.0,0.3,0.3,male
44,female,3.0,37.0,-0.94,-0.94,female
27,male,3.9,32.5,0.2,0.2,male
46,female,2.6,28.0,-0.99,-0.99,female
47,female,3.7,33.5,-1.07,-1.07,female
29,male,3.6,38.0,0.15,0.15,male
50,female,3.3,44.0,-2.1,-2.1,female
32,male,3.2,33.0,-0.03,-0.03,male
40,male,3.8,35.0,-0.51,-0.51,male
41,male,3.6,39.0,-0.61,-0.61,male
42,male,2.4,27.5,-0.79,-0.79,male
45,male,3.2,30.0,-0.97,-0.97,male
48,male,3.4,33.0,-1.11,-1.11,male
49,male,3.5,34.0,-1.99,-1.99,male
