doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender.1
1,male,3.0,44.0,2.61,2.61,male
2,male,3.5,39.0,2.36,2.36,male
3,male,3.7,48.0,1.82,1.82,male
4,male,3.8,40.0,1.52,1.52,male
5,female,3.7,47.0,1.39,1.39,female
6,female,3.8,38.0,1.38,1.38,female
7,male,3.7,48.0,1.2,1.2,male
8,female,3.3,37.0,1.11,1.11,female
9,female,3.4,36.0,1.1,1.1,female
10,male,2.9,33.0,1.09,1.09,male
11,female,3.9,34.0,1.04,1.04,female
12,male,3.5,35.0,0.97,0.97,male
13,female,3.0,30.7,0.96,0.96,female
14,female,3.0,31.0,0.94,0.94,female
15,male,3.1,39.0,0.61,0.61,male
16,female,3.7,44.0,0.58,0.58,female
17,female,3.7,41.0,0.57,0.57,female
18,male,3.8,31.0,0.53,0.53,male
19,male,2.3,41.5,0.44,0.44,male
20,female,2.8,42.0,0.37,0.37,female
21,male,3.0,35.0,0.35,0.35,male
22,male,2.7,40.0,0.34,0.34,male
23,male,2.9,41.0,0.23,0.23,male
24,female,3.5,33.0,0.14,0.14,female
25,male,2.6,42.0,0.03,0.03,male
26,female,4.0,33.0,-0.01,-0.01,female
27,female,3.5,36.0,-0.16,-0.16,female
28,male,2.8,38.0,-0.16,-0.16,male
29,male,2.7,36.0,-0.17,-0.17,male
30,female,2.9,33.5,-0.21,-0.21,female
31,female,2.7,39.0,-0.22,-0.22,female
32,male,3.9,44.0,-0.24,-0.24,male
33,male,4.0,32.0,-0.26,-0.26,male
34,female,3.2,32.0,-0.27,-0.27,female
35,female,3.3,37.0,-0.3,-0.3,female
36,female,3.5,38.0,-0.32,-0.32,female
37,female,3.0,30.0,-0.33,-0.33,female
38,female,3.1,42.0,-0.35,-0.35,female
39,female,3.3,32.0,-0.37,-0.37,female
40,female,3.0,34.0,-0.4,-0.4,female
41,female,3.6,23.5,-0.52,-0.52,female
42,male,3.0,34.0,-0.6,-0.6,male
43,male,3.6,34.0,-0.66,-0.66,male
44,male,2.8,33.0,-0.71,-0.71,male
45,male,2.9,40.0,-0.79,-0.79,male
46,male,2.4,36.0,-1.0,-1.0,male
47,female,3.3,28.0,-1.02,-1.02,female
48,male,2.4,36.0,-1.07,-1.07,male
49,female,3.3,29.5,-1.21,-1.21,female
50,male,3.3,37.0,-1.7,-1.7,male
