doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender.1
1,male,4.0,44.0,3.17,3.17,male
2,female,3.4,37.0,2.71,2.71,female
3,female,2.8,35.0,2.36,2.36,female
4,male,3.4,37.5,1.68,1.68,male
5,female,3.6,39.0,1.19,1.19,female
6,male,3.3,28.0,1.16,1.16,male
7,female,2.4,32.0,1.1,1.1,female
8,female,3.6,41.0,1.09,1.09,female
9,male,2.9,42.0,0.96,0.96,male
10,male,2.6,34.0,0.9,0.9,male
11,female,3.9,37.0,0.84,0.84,female
12,female,3.1,32.5,0.78,0.78,female
14,male,2.9,35.0,0.71,0.71,male
13,female,3.7,37.5,0.71,0.71,female
15,male,3.1,37.0,0.65,0.65,male
16,male,3.7,38.0,0.61,0.61,male
17,female,3.2,35.0,0.53,0.53,female
18,female,3.1,42.0,0.46,0.46,female
19,male,3.6,35.0,0.4,0.4,male
20,female,3.5,36.0,0.34,0.34,female
21,female,2.9,38.0,0.32,0.32,female
22,male,3.4,39.0,0.29,0.29,male
23,female,3.5,39.0,0.28,0.28,female
24,male,2.2,32.0,0.25,0.25,male
25,male,3.6,43.0,0.21,0.21,male
26,female,3.7,37.0,0.2,0.2,female
27,female,3.1,48.0,0.18,0.18,female
28,female,3.2,34.0,0.15,0.15,female
29,female,3.3,28.0,0.06,0.06,female
30,male,2.5,35.0,0.02,0.02,male
31,male,3.2,33.0,-0.03,-0.03,male
32,male,3.0,24.3,-0.05,-0.05,male
33,female,2.8,30.0,-0.07,-0.07,female
34,male,2.9,34.5,-0.17,-0.17,male
35,male,3.7,32.0,-0.22,-0.22,male
36,male,3.2,31.0,-0.25,-0.25,male
37,female,2.6,30.5,-0.28,-0.28,female
38,female,2.7,32.0,-0.3,-0.3,female
39,female,2.5,18.0,-0.3,-0.3,female
40,female,3.1,33.7,-0.33,-0.33,female
41,female,3.8,39.0,-0.37,-0.37,female
42,male,3.4,40.0,-0.41,-0.41,male
43,male,2.4,39.0,-0.64,-0.64,male
44,male,3.0,36.0,-0.71,-0.71,male
45,female,3.3,41.0,-0.79,-0.79,female
46,female,4.1,48.0,-0.96,-0.96,female
47,male,2.2,40.0,-1.09,-1.09,male
48,male,3.3,29.0,-1.19,-1.19,male
49,male,3.3,18.0,-2.12,-2.12,male
50,male,3.0,34.0,-2.22,-2.22,male
