doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender.1
1,male,3.6,44.0,2.5,2.5,male
2,male,3.7,38.0,1.69,1.69,male
3,male,3.3,40.0,1.33,1.33,male
4,female,3.3,39.0,1.19,1.19,female
5,male,3.1,35.0,1.17,1.17,male
6,male,2.9,36.0,1.15,1.15,male
7,male,2.3,35.5,1.14,1.14,male
8,male,3.1,39.0,1.06,1.06,male
9,male,2.9,37.0,1.02,1.02,male
10,male,3.4,32.0,0.98,0.98,male
11,female,2.6,23.0,0.84,0.84,female
12,female,3.0,42.0,0.71,0.71,female
13,female,3.2,37.0,0.65,0.65,female
14,female,3.3,39.5,0.58,0.58,female
16,female,2.9,42.0,0.48,0.48,female
15,female,3.4,42.0,0.48,0.48,female
17,female,3.7,40.0,0.42,0.42,female
18,male,3.3,31.0,0.42,0.42,male
19,female,2.8,37.0,0.34,0.34,female
20,female,3.7,39.0,0.27,0.27,female
21,female,3.4,36.5,0.23,0.23,female
22,male,2.9,41.0,0.21,0.21,male
23,female,2.9,35.0,0.19,0.19,female
24,male,3.4,40.0,0.17,0.17,male
25,female,3.7,40.0,0.15,0.15,female
26,male,2.7,36.0,0.1,0.1,male
27,male,3.7,31.5,0.08,0.08,male
28,male,3.8,37.0,-0.02,-0.02,male
29,female,3.0,36.0,-0.03,-0.03,female
30,male,3.5,41.0,-0.04,-0.04,male
31,male,3.1,40.0,-0.06,-0.06,male
32,male,2.8,36.0,-0.07,-0.07,male
33,female,2.9,39.0,-0.09,-0.09,female
34,female,2.9,42.0,-0.26,-0.26,female
35,male,3.8,33.0,-0.36,-0.36,male
36,female,3.6,31.5,-0.37,-0.37,female
37,male,2.4,37.0,-0.44,-0.44,male
38,female,3.7,40.0,-0.49,-0.49,female
39,male,3.8,35.0,-0.51,-0.51,male
40,female,3.5,43.0,-0.69,-0.69,female
41,female,3.4,36.5,-0.74,-0.74,female
42,male,3.4,19.5,-0.89,-0.89,male
43,female,3.7,25.0,-1.02,-1.02,female
44,female,3.5,36.0,-1.03,-1.03,female
45,male,2.8,36.0,-1.05,-1.05,male
46,male,3.8,26.5,-1.19,-1.19,male
47,female,3.2,31.0,-1.24,-1.24,female
48,male,2.6,31.0,-1.48,-1.48,male
49,female,2.6,24.0,-1.6,-1.6,female
50,female,3.0,29.0,-1.71,-1.71,female
