doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,2.8,39.0,2.49,2.49,male
2,male,3.7,38.0,2.02,2.02,male
4,female,3.5,42.0,1.7,1.7,female
3,male,3.7,38.0,1.86,1.86,male
5,female,3.8,41.0,1.57,1.57,female
6,female,3.4,44.0,1.53,1.53,female
7,female,3.8,33.0,1.5,1.5,female
8,female,2.8,42.0,1.42,1.42,female
9,female,3.1,32.0,1.38,1.38,female
10,female,3.2,35.0,1.02,1.02,female
11,male,2.6,36.0,0.88,0.88,male
12,female,3.3,40.0,0.79,0.79,female
13,male,2.6,32.0,0.78,0.78,male
14,female,3.4,43.0,0.77,0.77,female
15,female,3.9,34.5,0.76,0.76,female
16,male,3.0,37.0,0.72,0.72,male
17,male,3.4,46.0,0.6,0.6,male
18,female,2.5,38.0,0.52,0.52,female
19,female,3.3,37.0,0.49,0.49,female
20,female,3.4,34.0,0.41,0.41,female
21,male,3.5,35.0,0.34,0.34,male
22,male,3.4,32.5,0.34,0.34,male
23,female,3.1,38.0,0.3,0.3,female
24,male,2.7,32.0,0.17,0.17,male
25,female,3.3,42.0,0.14,0.14,female
26,female,3.4,34.0,0.13,0.13,female
27,male,3.0,37.0,0.11,0.11,male
28,male,3.5,36.0,0.04,0.04,male
29,male,3.9,36.0,-0.02,-0.02,male
33,female,3.2,37.0,-0.24,-0.24,female
34,female,3.1,27.3,-0.28,-0.28,female
30,male,3.6,33.0,-0.05,-0.05,male
37,female,3.3,34.0,-0.32,-0.32,female
31,male,3.2,45.0,-0.06,-0.06,male
41,female,3.7,44.0,-0.6,-0.6,female
42,female,3.8,40.0,-0.98,-0.98,female
32,male,3.2,36.0,-0.12,-0.12,male
45,female,3.3,33.5,-1.5,-1.5,female
35,male,3.2,36.0,-0.28,-0.28,male
47,female,3.3,42.0,-1.66,-1.66,female
49,female,3.7,40.5,-1.82,-1.82,female
36,male,2.4,42.0,-0.29,-0.29,male
50,female,2.9,32.0,-1.83,-1.83,female
38,male,3.5,46.0,-0.34,-0.34,male
39,male,3.9,43.0,-0.46,-0.46,male
40,male,2.5,41.0,-0.5,-0.5,male
43,male,3.7,40.0,-1.05,-1.05,male
44,male,2.8,36.0,-1.05,-1.05,male
46,male,3.1,40.0,-1.58,-1.58,male
48,male,3.3,37.0,-1.7,-1.7,male
