doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender.1
1,male,3.0,44.0,2.61,2.61,male
2,male,3.9,48.0,1.89,1.89,male
3,female,3.7,34.0,1.63,1.63,female
4,male,3.7,42.0,1.2,1.2,male
5,male,3.5,41.0,1.03,1.03,male
6,female,3.0,42.0,1.01,1.01,female
7,female,3.0,30.7,0.96,0.96,female
9,female,3.4,35.0,0.77,0.77,female
8,male,2.9,30.5,0.77,0.77,male
10,male,3.5,47.0,0.7,0.7,male
11,male,3.6,38.0,0.69,0.69,male
12,male,2.9,29.0,0.68,0.68,male
14,female,3.0,38.0,0.64,0.64,female
13,female,3.4,37.0,0.64,0.64,female
15,male,3.4,32.0,0.56,0.56,male
16,female,3.9,37.0,0.55,0.55,female
18,female,3.5,36.0,0.34,0.34,female
17,female,3.1,37.0,0.34,0.34,female
19,female,3.5,37.0,0.29,0.29,female
20,male,3.2,20.0,0.27,0.27,male
21,female,2.9,42.0,0.26,0.26,female
22,male,2.7,41.0,0.25,0.25,male
23,female,3.1,30.5,0.22,0.22,female
24,female,3.3,42.0,0.19,0.19,female
25,female,3.5,37.3,0.17,0.17,female
26,female,3.7,39.0,0.16,0.16,female
27,male,3.2,35.0,0.11,0.11,male
28,male,3.7,47.0,0.1,0.1,male
29,female,3.8,37.0,0.05,0.05,female
30,female,3.4,33.0,-0.05,-0.05,female
31,male,2.7,30.5,-0.17,-0.17,male
32,female,3.5,45.0,-0.22,-0.22,female
33,female,3.0,45.0,-0.26,-0.26,female
34,male,3.5,37.5,-0.28,-0.28,male
35,female,2.4,37.0,-0.33,-0.33,female
36,male,3.2,38.0,-0.36,-0.36,male
38,male,3.3,29.0,-0.4,-0.4,male
37,male,2.8,45.0,-0.4,-0.4,male
39,male,3.9,35.0,-0.55,-0.55,male
40,male,3.0,28.0,-0.58,-0.58,male
41,female,2.6,37.0,-0.72,-0.72,female
42,male,3.7,31.0,-0.73,-0.73,male
43,female,3.1,33.0,-0.81,-0.81,female
44,female,3.5,40.0,-0.82,-0.82,female
45,male,3.4,19.5,-0.89,-0.89,male
46,male,3.3,33.0,-0.89,-0.89,male
47,female,3.2,35.0,-0.96,-0.96,female
48,female,3.3,28.0,-1.02,-1.02,female
49,male,3.5,33.0,-1.43,-1.43,male
50,male,2.7,26.0,-1.54,-1.54,male
