doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,3.6,44.0,2.5,2.5,male
2,male,3.5,39.0,2.36,2.36,male
3,female,4.0,42.0,1.66,1.66,female
4,male,3.7,43.0,1.6,1.6,male
5,female,3.8,33.0,1.5,1.5,female
7,female,2.9,41.0,1.09,1.09,female
6,male,3.6,48.0,1.33,1.33,male
8,female,3.8,42.0,1.07,1.07,female
9,female,3.7,40.0,1.04,1.04,female
10,female,3.2,37.0,1.04,1.04,female
11,female,3.4,39.0,1.01,1.01,female
12,male,3.3,35.0,0.91,0.91,male
13,male,3.9,28.0,0.81,0.81,male
14,female,3.5,40.0,0.8,0.8,female
15,female,2.8,37.0,0.72,0.72,female
16,female,3.5,42.0,0.53,0.53,female
17,male,3.3,34.0,0.46,0.46,male
18,female,3.3,34.0,0.39,0.39,female
19,male,2.0,31.0,0.35,0.35,male
20,female,3.2,34.0,0.31,0.31,female
21,male,3.7,44.0,0.27,0.27,male
22,female,3.7,36.0,0.26,0.26,female
23,male,2.7,32.0,0.25,0.25,male
24,female,3.4,43.0,0.23,0.23,female
25,female,3.1,37.0,0.14,0.14,female
26,male,3.5,42.0,0.09,0.09,male
27,male,3.1,39.0,0.08,0.08,male
28,female,4.1,40.0,0.07,0.07,female
29,male,3.8,42.0,0.05,0.05,male
31,female,3.3,39.0,0.01,0.01,female
34,female,1.9,42.0,-0.22,-0.22,female
30,male,3.0,41.0,0.05,0.05,male
35,female,3.6,33.0,-0.24,-0.24,female
32,male,3.4,34.0,-0.02,-0.02,male
40,female,3.3,47.0,-0.41,-0.41,female
41,female,3.7,33.0,-0.59,-0.59,female
33,male,3.2,33.0,-0.03,-0.03,male
46,female,2.6,23.0,-1.42,-1.42,female
36,male,3.6,48.0,-0.26,-0.26,male
47,female,3.1,28.0,-1.58,-1.58,female
48,female,3.4,36.0,-1.73,-1.73,female
37,male,3.4,39.0,-0.32,-0.32,male
49,female,2.5,27.0,-2.06,-2.06,female
38,male,3.9,37.0,-0.36,-0.36,male
39,male,2.1,40.0,-0.41,-0.41,male
42,male,2.8,42.0,-0.64,-0.64,male
43,male,2.4,29.0,-0.84,-0.84,male
44,male,3.1,41.5,-0.96,-0.96,male
45,male,3.0,45.0,-1.03,-1.03,male
50,male,3.3,18.0,-2.12,-2.12,male
