doc_id,sex,score,ZFYA
1,male,2.5,2.5
2,female,1.65,1.65
3,female,1.47,1.47
5,female,1.06,1.06
6,female,1.02,1.02
4,male,1.25,1.25
7,female,0.96,0.96
10,female,0.85,0.85
8,male,0.93,0.93
9,female,0.9,0.9
12,female,0.64,0.64
11,male,0.77,0.77
14,female,0.57,0.57
13,male,0.59,0.59
16,male,0.55,0.55
15,male,0.56,0.56
17,male,0.51,0.51
18,male,0.49,0.49
20,female,0.38,0.38
19,male,0.42,0.42
21,female,0.34,0.34
22,female,0.32,0.32
24,female,0.23,0.23
23,male,0.29,0.29
25,female,0.14,0.14
27,female,0.09,0.09
26,male,0.13,0.13
29,female,-0.01,-0.01
28,male,0.05,0.05
31,female,-0.17,-0.17
30,male,-0.06,-0.06
33,female,-0.28,-0.28
32,male,-0.2,-0.2
35,female,-0.47,-0.47
34,male,-0.46,-0.46
36,female,-0.51,-0.51
37,female,-0.53,-0.53
38,male,-0.57,-0.57
39,female,-0.59,-0.59
40,male,-0.64,-0.64
42,female,-0.8,-0.8
41,male,-0.76,-0.76
44,female,-0.85,-0.85
43,male,-0.81,-0.81
45,male,-0.9,-0.9
46,female,-1.05,-1.05
47,male,-1.06,-1.06
48,male,-1.56,-1.56
49,male,-1.74,-1.74
50,male,-1.84,-1.84
