,doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender.1
0,19131,male,3.8,46.0,2.21,2.21,male
1,4610,male,3.3,35.0,2.16,2.16,male
2,6230,male,2.7,42.0,1.77,1.77,male
3,21470,male,3.2,43.0,1.72,1.72,male
4,12706,female,2.8,31.0,1.71,1.71,female
5,1572,male,3.3,37.0,1.57,1.57,male
6,2076,male,2.8,30.5,1.32,1.32,male
7,13744,male,2.9,45.0,1.3,1.3,male
8,11923,male,3.2,35.0,1.21,1.21,male
9,3711,female,3.2,39.0,0.94,0.94,female
10,14982,male,3.2,36.5,0.82,0.82,male
11,9519,female,3.4,35.0,0.71,0.71,female
12,17095,male,3.5,43.0,0.66,0.66,male
13,8908,male,3.6,33.0,0.49,0.49,male
14,20314,female,3.7,33.0,0.48,0.48,female
15,3745,female,3.3,35.0,0.4,0.4,female
16,1421,female,2.9,36.0,0.36,0.36,female
17,15323,female,1.9,39.0,0.35,0.35,female
18,4843,female,2.8,34.0,0.34,0.34,female
19,1993,male,3.0,44.0,0.3,0.3,male
20,10969,male,2.9,27.0,0.29,0.29,male
21,15287,male,2.7,26.0,0.28,0.28,male
22,8424,male,3.4,40.0,0.27,0.27,male
23,10591,female,3.6,31.5,0.19,0.19,female
24,5494,male,3.5,45.0,0.15,0.15,male
25,15244,male,2.8,20.0,0.12,0.12,male
26,10746,male,3.6,42.0,0.02,0.02,male
27,3758,female,3.0,39.0,0.0,0.0,female
28,4334,female,3.5,48.0,-0.03,-0.03,female
29,5411,male,3.8,41.0,-0.04,-0.04,male
30,4197,female,2.9,30.0,-0.06,-0.06,female
31,15722,female,3.9,36.0,-0.08,-0.08,female
32,16484,female,3.5,42.0,-0.13,-0.13,female
33,489,female,3.6,38.0,-0.22,-0.22,female
34,21446,female,3.5,38.0,-0.22,-0.22,female
35,8509,female,2.8,38.0,-0.27,-0.27,female
36,6582,male,3.5,32.0,-0.34,-0.34,male
37,20291,female,3.7,42.0,-0.38,-0.38,female
38,11258,female,3.8,38.0,-0.41,-0.41,female
39,8836,female,2.6,27.0,-0.46,-0.46,female
40,16278,female,3.3,38.0,-0.46,-0.46,female
41,3784,female,3.1,35.0,-0.53,-0.53,female
42,7548,female,3.1,32.0,-0.55,-0.55,female
43,3551,female,3.1,37.0,-0.58,-0.58,female
44,8041,female,3.4,43.0,-0.8,-0.8,female
45,9292,male,3.0,34.0,-1.09,-1.09,male
46,8443,male,3.1,29.5,-1.23,-1.23,male
47,21075,male,3.4,29.0,-1.32,-1.32,male
48,4238,male,3.7,48.0,-1.36,-1.36,male
49,12357,male,3.7,40.0,-1.59,-1.59,male
