doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,2.8,40.0,3.11,3.11,male
2,female,3.2,41.0,1.81,1.81,female
3,female,3.3,43.0,0.87,0.87,female
4,male,3.7,48.0,0.75,0.75,male
6,female,2.9,31.0,0.41,0.41,female
10,female,3.2,37.0,-0.24,-0.24,female
5,male,3.4,45.0,0.51,0.51,male
12,female,2.9,29.0,-0.35,-0.35,female
13,female,3.2,43.0,-0.45,-0.45,female
16,female,3.3,34.5,-0.95,-0.95,female
17,female,2.9,31.0,-1.17,-1.17,female
7,male,3.7,48.0,-0.04,-0.04,male
18,female,3.2,33.0,-1.5,-1.5,female
20,female,2.8,29.0,-1.89,-1.89,female
8,male,3.3,35.5,-0.2,-0.2,male
9,male,3.6,41.0,-0.22,-0.22,male
11,male,2.8,35.0,-0.35,-0.35,male
14,male,3.1,39.0,-0.58,-0.58,male
15,male,2.6,36.0,-0.63,-0.63,male
19,male,2.9,21.0,-1.78,-1.78,male
