doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,2.8,39.0,2.49,2.49,male
2,female,2.6,35.0,2.43,2.43,female
3,female,3.3,40.0,1.62,1.62,female
4,female,3.6,33.0,1.13,1.13,female
5,female,3.9,35.0,1.07,1.07,female
6,male,2.8,35.0,0.85,0.85,male
7,female,3.0,32.0,0.56,0.56,female
8,female,3.7,33.0,0.55,0.55,female
9,female,3.3,30.5,0.36,0.36,female
10,male,2.9,30.0,0.07,0.07,male
13,female,3.7,42.0,-0.03,-0.03,female
11,male,2.6,29.0,0.06,0.06,male
14,female,3.3,37.0,-0.03,-0.03,female
15,female,3.3,33.0,-0.14,-0.14,female
12,male,3.4,36.0,-0.02,-0.02,male
16,male,3.3,30.0,-0.41,-0.41,male
17,male,3.4,33.0,-0.43,-0.43,male
18,male,3.9,43.0,-0.46,-0.46,male
19,male,2.6,38.0,-0.98,-0.98,male
20,male,3.0,32.0,-1.15,-1.15,male
