doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,3.0,43.0,2.59,2.59,male
2,female,3.4,44.0,1.28,1.28,female
3,male,2.9,44.0,1.21,1.21,male
4,female,3.6,40.0,1.19,1.19,female
5,female,2.4,46.0,1.11,1.11,female
11,female,3.2,37.0,0.2,0.2,female
6,male,3.4,44.0,0.75,0.75,male
12,female,3.3,42.0,0.12,0.12,female
13,female,3.5,33.0,-0.13,-0.13,female
14,female,2.4,40.0,-0.31,-0.31,female
15,female,3.0,30.0,-0.33,-0.33,female
7,male,3.6,44.0,0.75,0.75,male
16,female,2.7,29.0,-0.33,-0.33,female
17,female,3.0,32.0,-0.51,-0.51,female
8,male,2.9,41.0,0.56,0.56,male
9,male,3.7,41.0,0.47,0.47,male
10,male,3.1,36.0,0.27,0.27,male
18,male,3.5,45.0,-0.53,-0.53,male
19,male,2.5,30.0,-0.88,-0.88,male
20,male,3.1,42.0,-1.49,-1.49,male
