doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,2.8,40.0,3.11,3.11,male
2,male,4.0,42.0,2.02,2.02,male
4,female,3.6,43.0,1.36,1.36,female
6,female,3.5,18.0,0.95,0.95,female
7,female,3.2,37.0,0.65,0.65,female
9,female,3.0,38.0,0.27,0.27,female
3,male,3.4,42.0,1.88,1.88,male
10,female,3.6,45.0,0.21,0.21,female
11,female,3.2,29.0,0.19,0.19,female
12,female,3.6,24.0,0.01,0.01,female
14,female,2.8,36.0,-0.19,-0.19,female
5,male,3.6,45.0,1.2,1.2,male
16,female,3.2,38.0,-0.28,-0.28,female
20,female,3.1,38.0,-1.69,-1.69,female
8,male,2.9,40.0,0.64,0.64,male
13,male,3.5,36.0,-0.01,-0.01,male
15,male,3.2,48.0,-0.21,-0.21,male
17,male,3.2,27.0,-0.69,-0.69,male
18,male,3.0,35.0,-0.86,-0.86,male
19,male,2.5,28.0,-1.54,-1.54,male
