doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender.1
1,male,3.0,44.0,2.61,2.61,male
2,female,3.0,40.0,1.76,1.76,female
3,male,3.1,45.0,1.58,1.58,male
4,male,4.0,42.0,1.5,1.5,male
5,male,3.3,41.0,1.39,1.39,male
6,female,2.9,39.0,0.89,0.89,female
7,male,3.2,28.0,0.74,0.74,male
8,male,3.3,34.0,0.63,0.63,male
9,male,3.4,44.0,0.4,0.4,male
10,female,2.9,38.0,0.32,0.32,female
11,male,3.6,38.0,0.15,0.15,male
12,male,3.3,36.0,0.1,0.1,male
13,female,3.0,36.5,0.02,0.02,female
14,female,3.7,31.0,-0.03,-0.03,female
15,female,2.9,29.5,-0.07,-0.07,female
16,female,3.1,36.0,-0.27,-0.27,female
17,female,3.7,40.5,-0.42,-0.42,female
18,female,3.2,21.0,-1.09,-1.09,female
19,female,3.2,30.0,-1.49,-1.49,female
20,male,2.3,24.7,-1.56,-1.56,male
