doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender.1
1,male,3.4,47.0,2.67,2.67,male
2,male,3.1,42.0,2.39,2.39,male
3,male,3.0,35.5,1.88,1.88,male
4,male,3.2,41.0,1.85,1.85,male
5,male,3.7,42.0,1.2,1.2,male
6,female,3.0,31.0,0.94,0.94,female
7,male,2.2,43.0,0.83,0.83,male
8,female,3.8,38.0,0.67,0.67,female
9,male,3.6,45.0,0.55,0.55,male
10,female,3.9,35.0,0.52,0.52,female
11,female,3.6,44.0,0.32,0.32,female
12,female,2.9,41.0,0.3,0.3,female
13,female,3.2,38.0,0.25,0.25,female
14,female,3.1,38.0,0.23,0.23,female
15,male,3.2,30.0,0.02,0.02,male
16,male,3.6,41.0,-0.06,-0.06,male
17,female,3.9,33.0,-0.3,-0.3,female
18,male,2.2,31.0,-0.46,-0.46,male
19,female,3.2,28.0,-0.67,-0.67,female
20,female,2.6,24.0,-1.6,-1.6,female
