doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,3.7,43.0,2.5,2.5,male
2,female,3.4,41.0,1.93,1.93,female
3,female,3.7,44.0,1.62,1.62,female
4,female,3.3,40.0,1.11,1.11,female
5,female,3.2,30.0,0.98,0.98,female
6,female,3.6,34.0,0.57,0.57,female
7,female,3.6,41.0,0.52,0.52,female
8,male,3.5,36.0,0.5,0.5,male
9,female,3.0,40.0,0.49,0.49,female
10,male,3.0,34.0,0.43,0.43,male
12,female,3.3,36.5,0.26,0.26,female
11,male,3.1,43.0,0.29,0.29,male
17,female,2.9,42.0,-0.26,-0.26,female
20,female,2.5,27.0,-1.68,-1.68,female
13,male,2.8,44.0,0.23,0.23,male
14,male,2.6,33.0,0.1,0.1,male
15,male,3.3,36.0,-0.08,-0.08,male
16,male,3.6,48.0,-0.26,-0.26,male
18,male,3.3,36.0,-0.48,-0.48,male
19,male,3.1,34.0,-0.78,-0.78,male
