doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender.1
1,male,4.0,44.0,3.17,3.17,male
2,female,3.2,36.0,1.69,1.69,female
3,female,3.1,46.0,1.61,1.61,female
4,male,2.7,35.0,1.49,1.49,male
5,male,2.8,40.0,1.41,1.41,male
6,female,3.0,42.0,1.23,1.23,female
7,male,2.7,37.0,0.97,0.97,male
8,male,3.4,32.0,0.94,0.94,male
9,female,2.9,43.0,0.81,0.81,female
10,female,4.0,37.0,0.79,0.79,female
11,male,3.7,36.0,0.64,0.64,male
12,female,3.4,33.0,0.41,0.41,female
13,male,3.3,34.0,0.33,0.33,male
14,male,3.0,34.0,0.19,0.19,male
15,female,3.6,42.0,-0.09,-0.09,female
16,female,2.9,36.0,-0.17,-0.17,female
17,female,3.3,39.0,-0.26,-0.26,female
18,male,3.4,40.0,-0.32,-0.32,male
19,male,2.9,37.0,-0.72,-0.72,male
20,female,3.2,37.0,-1.32,-1.32,female
