doc_id,Gender,UGPA,LSAT,predictions,GT_score,Gender
1,male,3.6,44.0,2.5,2.5,male
2,male,4.0,39.0,1.77,1.77,male
3,female,3.7,46.0,1.58,1.58,female
5,female,3.6,31.0,0.91,0.91,female
6,female,3.4,45.0,0.78,0.78,female
7,female,3.8,40.0,0.75,0.75,female
4,male,3.3,38.0,1.02,1.02,male
8,female,3.7,39.0,0.27,0.27,female
9,female,3.5,33.0,0.09,0.09,female
16,female,3.7,25.0,-0.76,-0.76,female
17,female,3.1,36.0,-0.76,-0.76,female
10,male,3.3,41.0,0.01,0.01,male
19,female,2.5,42.0,-1.22,-1.22,female
20,female,2.9,28.0,-2.09,-2.09,female
11,male,2.5,40.5,-0.15,-0.15,male
12,male,2.8,35.0,-0.27,-0.27,male
13,male,2.5,37.0,-0.29,-0.29,male
14,male,3.0,36.0,-0.62,-0.62,male
15,male,3.5,38.0,-0.62,-0.62,male
18,male,2.0,32.5,-1.06,-1.06,male
