doc_id,sex,score,ZFYA
1,male,2.61,2.61
3,female,1.56,1.56
2,male,1.84,1.84
4,female,1.55,1.55
8,female,1.08,1.08
5,male,1.54,1.54
9,female,1.05,1.05
11,female,0.97,0.97
6,male,1.29,1.29
14,female,0.53,0.53
7,male,1.2,1.2
16,female,0.49,0.49
10,male,0.99,0.99
17,female,0.43,0.43
18,female,0.39,0.39
12,male,0.7,0.7
13,male,0.55,0.55
15,male,0.53,0.53
20,female,0.28,0.28
19,male,0.29,0.29
25,female,0.08,0.08
21,male,0.23,0.23
22,male,0.21,0.21
23,male,0.2,0.2
24,male,0.18,0.18
26,male,0.04,0.04
27,female,-0.01,-0.01
28,female,-0.24,-0.24
29,female,-0.29,-0.29
31,female,-0.37,-0.37
30,male,-0.32,-0.32
32,female,-0.43,-0.43
34,female,-0.5,-0.5
33,male,-0.5,-0.5
35,female,-0.53,-0.53
36,female,-0.58,-0.58
37,male,-0.59,-0.59
38,male,-0.6,-0.6
39,male,-0.64,-0.64
40,female,-0.68,-0.68
41,male,-0.7,-0.7
42,male,-0.71,-0.71
43,female,-0.73,-0.73
44,male,-0.79,-0.79
45,female,-0.81,-0.81
46,female,-0.88,-0.88
47,female,-0.95,-0.95
48,male,-1.03,-1.03
49,male,-1.26,-1.26
50,female,-1.31,-1.31
