,doc_id,Gender,predictions,GT_score,Gender.1
0,154,male,39999,39999,male
1,870,male,24797,24797,male
2,480,male,18333,18333,male
3,145,female,14866,14866,female
4,501,female,13262,13262,female
5,787,male,13083,13083,male
6,67,male,10750,10750,male
7,434,male,10416,10416,male
8,316,male,10000,10000,male
9,816,male,7830,7830,male
10,949,male,7603,7603,male
11,832,female,7600,7600,female
12,107,male,7333,7333,male
13,585,male,6383,6383,male
14,408,male,6096,6096,male
15,65,male,5726,5726,male
16,46,male,5649,5649,male
17,385,male,5488,5488,male
18,905,male,5314,5314,male
19,789,female,4333,4333,female
20,64,female,4166,4166,female
21,121,female,4166,4166,female
22,683,male,4136,4136,male
23,43,male,3941,3941,male
24,406,female,3867,3867,female
25,864,female,3835,3835,female
26,852,female,3719,3719,female
27,313,male,3717,3717,male
28,164,male,3707,3707,male
29,37,female,3667,3667,female
30,315,female,3541,3541,female
31,712,female,3417,3417,female
32,59,male,3357,3357,male
33,671,female,3250,3250,female
34,392,female,3180,3180,female
35,116,female,3167,3167,female
36,494,female,3159,3159,female
37,509,male,3074,3074,male
38,713,female,2922,2922,female
39,412,female,2600,2600,female
40,467,female,2500,2500,female
41,291,male,2383,2383,male
42,337,female,2378,2378,female
43,144,female,2330,2330,female
44,764,male,2268,2268,male
45,475,male,2083,2083,male
46,857,female,1850,1850,female
47,334,female,1830,1830,female
48,767,female,1750,1750,female
49,915,female,1647,1647,female
