doc_id,sex,score,ZFYA
1,male,3.25,3.25
4,female,2.93,2.93
2,male,3.17,3.17
5,female,2.79,2.79
3,male,3.11,3.11
6,female,2.71,2.71
10,female,2.6,2.6
7,male,2.7,2.7
12,female,2.54,2.54
8,male,2.67,2.67
9,male,2.61,2.61
18,female,2.45,2.45
11,male,2.59,2.59
13,male,2.5,2.5
14,male,2.5,2.5
15,male,2.49,2.49
16,male,2.48,2.48
17,male,2.46,2.46
19,male,2.43,2.43
21,male,2.43,2.43
22,female,2.43,2.43
20,female,2.43,2.43
23,female,2.42,2.42
24,female,2.41,2.41
26,male,2.39,2.39
27,male,2.39,2.39
25,male,2.39,2.39
28,female,2.36,2.36
29,female,2.36,2.36
30,male,2.36,2.36
31,female,2.35,2.35
32,male,2.34,2.34
33,male,2.34,2.34
34,female,2.32,2.32
36,male,2.3,2.3
35,female,2.3,2.3
37,male,2.26,2.26
38,male,2.26,2.26
39,female,2.24,2.24
40,female,2.23,2.23
41,male,2.23,2.23
42,female,2.23,2.23
43,female,2.22,2.22
44,female,2.22,2.22
45,female,2.21,2.21
46,male,2.21,2.21
47,male,2.19,2.19
48,male,2.18,2.18
49,male,2.17,2.17
50,male,2.16,2.16
51,male,2.16,2.16
52,female,2.16,2.16
53,male,2.15,2.15
54,male,2.14,2.14
55,female,2.13,2.13
56,male,2.12,2.12
57,female,2.12,2.12
58,male,2.12,2.12
59,female,2.09,2.09
60,male,2.09,2.09
61,female,2.09,2.09
62,male,2.09,2.09
63,female,2.09,2.09
64,male,2.08,2.08
65,male,2.08,2.08
66,male,2.07,2.07
67,male,2.07,2.07
68,male,2.07,2.07
69,male,2.05,2.05
70,female,2.04,2.04
71,male,2.03,2.03
73,male,2.03,2.03
72,male,2.03,2.03
74,female,2.02,2.02
76,male,2.02,2.02
77,male,2.02,2.02
78,female,2.02,2.02
75,male,2.02,2.02
79,female,2.01,2.01
80,female,2.0,2.0
81,male,2.0,2.0
82,male,1.99,1.99
83,male,1.99,1.99
84,female,1.99,1.99
85,male,1.98,1.98
88,male,1.96,1.96
89,female,1.96,1.96
86,female,1.96,1.96
87,female,1.96,1.96
90,male,1.95,1.95
91,female,1.95,1.95
92,male,1.94,1.94
93,female,1.94,1.94
94,male,1.93,1.93
95,male,1.93,1.93
96,female,1.93,1.93
97,male,1.92,1.92
98,male,1.91,1.91
99,male,1.91,1.91
100,female,1.91,1.91
101,male,1.91,1.91
102,male,1.91,1.91
104,female,1.9,1.9
105,female,1.9,1.9
103,female,1.9,1.9
107,male,1.89,1.89
108,male,1.89,1.89
109,male,1.89,1.89
106,male,1.89,1.89
110,male,1.88,1.88
111,male,1.88,1.88
112,male,1.88,1.88
113,female,1.88,1.88
114,female,1.88,1.88
115,male,1.88,1.88
116,female,1.88,1.88
117,male,1.88,1.88
118,female,1.88,1.88
119,female,1.87,1.87
121,female,1.86,1.86
122,male,1.86,1.86
120,female,1.86,1.86
124,male,1.85,1.85
125,male,1.85,1.85
123,male,1.85,1.85
126,male,1.84,1.84
127,male,1.84,1.84
132,female,1.83,1.83
135,female,1.83,1.83
134,female,1.83,1.83
133,female,1.83,1.83
130,female,1.83,1.83
131,male,1.83,1.83
129,female,1.83,1.83
128,female,1.83,1.83
139,female,1.82,1.82
141,male,1.82,1.82
140,male,1.82,1.82
138,male,1.82,1.82
136,male,1.82,1.82
137,male,1.82,1.82
142,female,1.81,1.81
143,female,1.81,1.81
144,male,1.79,1.79
145,female,1.79,1.79
146,male,1.79,1.79
147,male,1.78,1.78
148,male,1.78,1.78
149,male,1.77,1.77
150,male,1.77,1.77
151,male,1.77,1.77
152,male,1.77,1.77
159,male,1.76,1.76
158,male,1.76,1.76
157,male,1.76,1.76
156,female,1.76,1.76
155,female,1.76,1.76
154,female,1.76,1.76
153,female,1.76,1.76
160,female,1.75,1.75
161,female,1.75,1.75
162,male,1.75,1.75
163,male,1.74,1.74
164,male,1.74,1.74
165,female,1.74,1.74
166,female,1.74,1.74
167,female,1.74,1.74
168,male,1.73,1.73
169,male,1.73,1.73
170,female,1.73,1.73
172,male,1.72,1.72
171,female,1.72,1.72
173,female,1.71,1.71
174,male,1.71,1.71
175,male,1.71,1.71
176,male,1.71,1.71
177,female,1.71,1.71
178,female,1.71,1.71
183,female,1.7,1.7
186,male,1.7,1.7
185,male,1.7,1.7
184,male,1.7,1.7
181,male,1.7,1.7
182,male,1.7,1.7
180,female,1.7,1.7
179,male,1.7,1.7
190,female,1.69,1.69
192,male,1.69,1.69
191,female,1.69,1.69
188,male,1.69,1.69
189,female,1.69,1.69
187,male,1.69,1.69
193,male,1.68,1.68
194,male,1.68,1.68
195,female,1.68,1.68
196,male,1.68,1.68
197,female,1.67,1.67
198,male,1.67,1.67
199,male,1.67,1.67
200,male,1.67,1.67
210,female,1.66,1.66
209,male,1.66,1.66
208,male,1.66,1.66
205,female,1.66,1.66
207,female,1.66,1.66
206,female,1.66,1.66
202,female,1.66,1.66
201,male,1.66,1.66
204,female,1.66,1.66
203,male,1.66,1.66
211,female,1.65,1.65
212,female,1.65,1.65
213,female,1.65,1.65
214,male,1.64,1.64
216,male,1.64,1.64
217,male,1.64,1.64
218,female,1.64,1.64
219,female,1.64,1.64
220,male,1.64,1.64
221,male,1.64,1.64
222,male,1.64,1.64
215,male,1.64,1.64
225,male,1.63,1.63
223,female,1.63,1.63
224,female,1.63,1.63
226,female,1.62,1.62
227,female,1.62,1.62
228,female,1.62,1.62
229,female,1.62,1.62
230,male,1.62,1.62
231,male,1.62,1.62
232,female,1.61,1.61
233,male,1.61,1.61
234,male,1.61,1.61
235,male,1.61,1.61
236,female,1.61,1.61
244,male,1.6,1.6
243,female,1.6,1.6
241,female,1.6,1.6
242,male,1.6,1.6
239,male,1.6,1.6
240,female,1.6,1.6
237,male,1.6,1.6
238,female,1.6,1.6
245,male,1.59,1.59
246,female,1.59,1.59
247,male,1.59,1.59
248,male,1.58,1.58
