doc_id,D,sex,Points,Career Points
65,65,female,9693,9693
97,97,female,7488,7488
100,100,female,7380,7380
110,110,female,6811,6811
155,155,female,5046,5046
157,157,female,4984,4984
185,185,female,4435,4435
191,191,female,4323,4323
196,196,female,4147,4147
203,203,female,4004,4004
222,222,female,3534,3534
233,233,female,3358,3358
234,234,female,3353,3353
244,244,female,3103,3103
248,248,female,3001,3001
256,256,female,2849,2849
262,262,female,2775,2775
265,265,female,2747,2747
276,276,female,2620,2620
292,292,female,2353,2353
298,298,female,2288,2288
302,302,female,2247,2247
305,305,female,2232,2232
306,306,female,2219,2219
311,311,female,2183,2183
312,312,female,2174,2174
330,330,female,1935,1935
331,331,female,1925,1925
333,333,female,1918,1918
335,335,female,1915,1915
345,345,female,1760,1760
372,372,female,1505,1505
377,377,female,1458,1458
379,379,female,1451,1451
380,380,female,1445,1445
382,382,female,1431,1431
383,383,female,1408,1408
387,387,female,1390,1390
390,390,female,1377,1377
397,397,female,1304,1304
399,399,female,1297,1297
402,402,female,1203,1203
407,407,female,1186,1186
413,413,female,1096,1096
415,415,female,1094,1094
420,420,female,1061,1061
424,424,female,1050,1050
425,425,female,1050,1050
427,427,female,1000,1000
428,428,female,1000,1000
443,443,female,866,866
448,448,female,827,827
449,449,female,818,818
452,452,female,794,794
455,455,female,763,763
456,456,female,759,759
463,463,female,705,705
467,467,female,676,676
469,469,female,667,667
471,471,female,658,658
473,473,female,646,646
474,474,female,636,636
475,475,female,633,633
482,482,female,603,603
485,485,female,582,582
492,492,female,561,561
495,495,female,542,542
498,498,female,534,534
500,500,female,521,521
502,503,female,509,509
503,502,male,509,509
505,505,female,503,503
508,508,female,500,500
513,513,female,485,485
519,519,female,458,458
523,523,female,454,454
525,525,female,453,453
527,527,female,448,448
531,531,female,424,424
532,532,female,423,423
535,535,female,413,413
539,539,female,387,387
542,542,female,382,382
548,548,female,365,365
551,551,female,355,355
552,552,female,354,354
553,553,female,353,353
554,554,female,350,350
555,555,female,349,349
558,558,female,346,346
563,563,female,330,330
569,569,female,319,319
574,574,female,309,309
575,576,female,304,304
579,579,female,296,296
582,582,female,288,288
586,586,female,272,272
587,587,female,272,272
592,592,female,261,261
597,597,female,247,247
601,601,female,240,240
611,611,female,224,224
615,615,female,217,217
616,616,female,217,217
618,618,female,208,208
622,622,female,200,200
627,627,female,196,196
629,629,female,194,194
633,633,female,183,183
636,636,female,177,177
640,640,female,175,175
648,649,male,163,163
653,653,female,158,158
656,656,female,155,155
662,662,female,149,149
663,664,male,147,147
674,674,female,135,135
677,678,male,130,130
678,677,female,130,130
679,679,female,129,129
681,681,female,124,124
682,682,female,123,123
686,686,female,121,121
687,687,female,121,121
703,703,female,100,100
704,704,female,99,99
706,706,female,98,98
707,707,female,98,98
708,709,male,97,97
709,708,female,97,97
711,711,female,94,94
712,712,female,94,94
714,714,female,93,93
715,715,female,93,93
716,716,female,92,92
719,719,female,88,88
726,726,female,82,82
729,729,female,79,79
731,731,female,79,79
746,746,female,69,69
747,747,female,68,68
750,750,female,68,68
751,751,female,68,68
755,755,female,65,65
759,759,female,62,62
761,761,female,61,61
762,762,female,60,60
767,767,female,55,55
768,768,female,55,55
772,772,female,53,53
773,773,female,52,52
775,775,female,50,50
778,778,female,49,49
798,798,female,38,38
806,806,female,35,35
808,808,female,35,35
809,809,female,34,34
814,816,female,30,30
815,817,female,30,30
817,814,female,30,30
818,818,female,29,29
820,820,female,27,27
824,824,female,26,26
827,829,female,25,25
828,830,female,25,25
829,827,female,25,25
833,832,female,24,24
836,836,female,22,22
837,837,female,22,22
839,839,female,22,22
842,842,female,21,21
848,848,female,19,19
853,853,female,17,17
857,860,female,16,16
860,859,male,16,16
862,862,female,15,15
864,864,female,14,14
876,877,female,10,10
878,879,female,10,10
879,880,female,10,10
881,881,female,9,9
882,882,female,9,9
891,891,female,7,7
892,893,female,7,7
894,895,female,7,7
895,896,male,7,7
904,906,female,5,5
913,914,female,4,4
916,920,female,3,3
918,917,female,3,3
934,934,female,0,0
1,1,male,38387,38387
2,2,male,31852,31852
3,3,male,26931,26931
4,4,male,26496,26496
5,5,male,26397,26397
6,6,male,26395,26395
7,7,male,26274,26274
8,8,male,25192,25192
9,9,male,19760,19760
10,10,male,19655,19655
11,11,male,18831,18831
12,12,male,18822,18822
13,13,male,18679,18679
14,14,male,18203,18203
15,15,male,17949,17949
16,16,male,17940,17940
17,17,male,17770,17770
18,18,male,17345,17345
19,19,male,16245,16245
20,20,male,16039,16039
21,21,male,15921,15921
22,22,male,15725,15725
23,23,male,15525,15525
24,24,male,15411,15411
25,25,male,15294,15294
26,26,male,15291,15291
27,27,male,15136,15136
28,28,male,13976,13976
29,29,male,13859,13859
30,30,male,13858,13858
31,31,male,13572,13572
32,32,male,13262,13262
33,33,male,13198,13198
34,34,male,12925,12925
35,35,male,12924,12924
36,36,male,12769,12769
37,37,male,12713,12713
38,38,male,12683,12683
39,39,male,12532,12532
40,40,male,12517,12517
41,41,male,12250,12250
42,42,male,11995,11995
43,43,male,11984,11984
44,44,male,11722,11722
45,45,male,11517,11517
46,46,male,11456,11456
47,47,male,11456,11456
48,48,male,11422,11422
49,49,male,11383,11383
50,50,male,11344,11344
51,51,male,11274,11274
52,52,male,11147,11147
53,53,male,11136,11136
54,54,male,11101,11101
55,55,male,10989,10989
56,56,male,10689,10689
57,57,male,10513,10513
58,58,male,10444,10444
59,59,male,10283,10283
60,60,male,10216,10216
61,61,male,10127,10127
62,62,male,10105,10105
63,63,male,9948,9948
64,64,male,9732,9732
66,66,male,9654,9654
67,67,male,9578,9578
68,68,male,9475,9475
69,69,male,9314,9314
70,70,male,9240,9240
71,71,male,9232,9232
72,72,male,9217,9217
73,73,male,9192,9192
74,74,male,9161,9161
75,75,male,9002,9002
76,76,male,8966,8966
77,77,male,8914,8914
78,78,male,8901,8901
79,79,male,8882,8882
80,80,male,8759,8759
81,81,male,8743,8743
82,82,male,8695,8695
83,83,male,8486,8486
84,84,male,8437,8437
85,85,male,8368,8368
86,86,male,8211,8211
87,87,male,8203,8203
88,88,male,8138,8138
89,89,male,7873,7873
90,90,male,7868,7868
91,91,male,7686,7686
92,92,male,7664,7664
93,93,male,7645,7645
94,94,male,7639,7639
95,95,male,7602,7602
96,96,male,7574,7574
98,98,male,7430,7430
99,99,male,7427,7427
101,101,male,7350,7350
102,102,male,7316,7316
103,103,male,7256,7256
104,104,male,7251,7251
105,105,male,7191,7191
106,106,male,7083,7083
107,107,male,6955,6955
108,108,male,6839,6839
109,109,male,6837,6837
111,111,male,6808,6808
112,112,male,6750,6750
113,113,male,6724,6724
114,114,male,6663,6663
115,115,male,6558,6558
116,116,male,6529,6529
117,117,male,6520,6520
118,118,male,6517,6517
119,119,male,6462,6462
120,120,male,6424,6424
121,121,male,6411,6411
122,122,male,6252,6252
123,123,male,6223,6223
124,124,male,6206,6206
125,125,male,6180,6180
126,126,male,6136,6136
127,127,male,6111,6111
128,128,male,6000,6000
129,129,male,5971,5971
130,130,male,5970,5970
131,131,male,5953,5953
132,132,male,5936,5936
133,133,male,5856,5856
134,134,male,5833,5833
135,135,male,5792,5792
136,136,male,5785,5785
137,137,male,5762,5762
138,138,male,5757,5757
139,139,male,5746,5746
140,140,male,5667,5667
141,141,male,5564,5564
142,142,male,5519,5519
143,143,male,5490,5490
144,144,male,5486,5486
145,145,male,5470,5470
146,146,male,5393,5393
147,147,male,5346,5346
148,148,male,5263,5263
149,149,male,5259,5259
150,150,male,5243,5243
151,151,male,5242,5242
152,152,male,5202,5202
153,153,male,5173,5173
154,154,male,5086,5086
156,156,male,4987,4987
158,158,male,4978,4978
159,159,male,4973,4973
160,160,male,4945,4945
161,161,male,4936,4936
162,162,male,4914,4914
163,163,male,4889,4889
164,164,male,4872,4872
165,165,male,4842,4842
166,166,male,4797,4797
167,167,male,4789,4789
168,168,male,4783,4783
169,169,male,4737,4737
170,170,male,4731,4731
171,171,male,4705,4705
172,172,male,4663,4663
173,173,male,4644,4644
174,174,male,4637,4637
175,175,male,4617,4617
176,176,male,4605,4605
177,177,male,4597,4597
178,178,male,4567,4567
179,179,male,4561,4561
180,180,male,4544,4544
181,181,male,4515,4515
182,182,male,4494,4494
183,183,male,4483,4483
184,184,male,4462,4462
186,186,male,4410,4410
187,187,male,4407,4407
188,188,male,4391,4391
189,189,male,4368,4368
190,190,male,4349,4349
192,192,male,4319,4319
193,193,male,4302,4302
194,194,male,4219,4219
195,195,male,4195,4195
197,197,male,4137,4137
198,198,male,4115,4115
199,199,male,4072,4072
200,200,male,4041,4041
201,201,male,4023,4023
202,202,male,4019,4019
204,204,male,3946,3946
205,205,male,3940,3940
206,206,male,3898,3898
207,207,male,3889,3889
208,208,male,3864,3864
209,209,male,3860,3860
210,210,male,3826,3826
211,211,male,3792,3792
212,212,male,3743,3743
213,213,male,3704,3704
214,214,male,3679,3679
215,215,male,3670,3670
216,216,male,3668,3668
217,217,male,3618,3618
218,218,male,3615,3615
219,219,male,3613,3613
220,220,male,3566,3566
221,221,male,3548,3548
223,223,male,3533,3533
224,224,male,3512,3512
225,225,male,3479,3479
226,226,male,3464,3464
