doc_id,sex,score,ZFYA
1,male,2.67,2.67
3,female,1.42,1.42
4,female,1.26,1.26
2,male,1.67,1.67
5,female,1.09,1.09
7,female,1.05,1.05
8,female,0.97,0.97
9,female,0.92,0.92
6,male,1.05,1.05
10,male,0.89,0.89
11,male,0.88,0.88
12,female,0.76,0.76
17,female,0.34,0.34
18,female,0.3,0.3
13,male,0.46,0.46
20,female,0.16,0.16
14,male,0.43,0.43
21,female,0.12,0.12
15,male,0.42,0.42
25,female,-0.03,-0.03
16,male,0.39,0.39
26,female,-0.05,-0.05
19,male,0.19,0.19
29,female,-0.15,-0.15
22,male,0.08,0.08
30,female,-0.18,-0.18
23,male,0.05,0.05
32,female,-0.28,-0.28
24,male,-0.02,-0.02
33,female,-0.3,-0.3
27,male,-0.06,-0.06
34,female,-0.39,-0.39
28,male,-0.08,-0.08
35,female,-0.48,-0.48
31,male,-0.24,-0.24
37,female,-0.53,-0.53
36,male,-0.49,-0.49
38,male,-0.6,-0.6
40,male,-0.62,-0.62
39,male,-0.62,-0.62
41,female,-0.63,-0.63
42,female,-0.64,-0.64
43,female,-0.65,-0.65
44,female,-0.84,-0.84
45,male,-1.13,-1.13
46,male,-1.26,-1.26
47,male,-1.33,-1.33
48,male,-1.37,-1.37
49,male,-1.41,-1.41
50,female,-2.16,-2.16
