doc_id,Gender,predictions,GT_score,Gender.1
1,male,0.99756,0.99756,male
2,male,0.89783,0.89783,male
3,male,0.86638,0.86638,male
4,male,0.84869,0.84869,male
5,male,0.84783,0.84783,male
6,female,0.84075,0.84075,female
7,male,0.82799,0.82799,male
8,male,0.81972,0.81972,male
9,male,0.80002,0.80002,male
10,female,0.79079,0.79079,female
11,female,0.78754,0.78754,female
12,female,0.78133,0.78133,female
13,male,0.77153,0.77153,male
14,male,0.76928,0.76928,male
15,female,0.75986,0.75986,female
16,female,0.75728,0.75728,female
17,male,0.75709,0.75709,male
18,female,0.75685,0.75685,female
19,female,0.75513,0.75513,female
20,female,0.74447,0.74447,female
21,female,0.73806,0.73806,female
22,female,0.73548,0.73548,female
23,male,0.73333,0.73333,male
24,male,0.73204,0.73204,male
25,male,0.72515,0.72515,male
26,male,0.72501,0.72501,male
27,male,0.72353,0.72353,male
28,female,0.71674,0.71674,female
29,female,0.71612,0.71612,female
30,female,0.71033,0.71033,female
31,male,0.7023,0.7023,male
32,female,0.7022,0.7022,female
33,female,0.68777,0.68777,female
34,male,0.68514,0.68514,male
35,male,0.68255,0.68255,male
36,female,0.67223,0.67223,female
37,female,0.66463,0.66463,female
38,male,0.65444,0.65444,male
39,female,0.64522,0.64522,female
40,male,0.6444,0.6444,male
41,male,0.64393,0.64393,male
42,female,0.64283,0.64283,female
43,female,0.57805,0.57805,female
44,female,0.56117,0.56117,female
45,female,0.55027,0.55027,female
46,female,0.52971,0.52971,female
47,male,0.50174,0.50174,male
48,male,0.49056,0.49056,male
49,male,0.4526,0.4526,male
50,female,0.44591,0.44591,female
