doc_id,Gender,predictions,GT_score,Gender
1,male,0.99278,0.99278,male
2,male,0.89587,0.89587,male
8,female,0.82278,0.82278,female
3,male,0.89038,0.89038,male
11,female,0.80341,0.80341,female
14,female,0.78157,0.78157,female
4,male,0.88478,0.88478,male
16,female,0.76832,0.76832,female
5,male,0.87274,0.87274,male
18,female,0.75675,0.75675,female
21,female,0.75259,0.75259,female
6,male,0.87269,0.87269,male
22,female,0.74987,0.74987,female
7,male,0.82316,0.82316,male
26,female,0.73247,0.73247,female
28,female,0.72486,0.72486,female
9,male,0.81737,0.81737,male
29,female,0.72137,0.72137,female
10,male,0.80442,0.80442,male
31,female,0.71224,0.71224,female
33,female,0.7023,0.7023,female
12,male,0.79715,0.79715,male
34,female,0.69011,0.69011,female
13,male,0.78826,0.78826,male
36,female,0.66104,0.66104,female
37,female,0.65664,0.65664,female
15,male,0.77592,0.77592,male
38,female,0.65497,0.65497,female
17,male,0.76168,0.76168,male
39,female,0.65115,0.65115,female
40,female,0.62523,0.62523,female
19,male,0.75589,0.75589,male
41,female,0.60687,0.60687,female
20,male,0.75465,0.75465,male
42,female,0.58603,0.58603,female
43,female,0.54496,0.54496,female
23,male,0.74953,0.74953,male
44,female,0.52288,0.52288,female
24,male,0.74327,0.74327,male
47,female,0.47445,0.47445,female
48,female,0.47206,0.47206,female
25,male,0.74112,0.74112,male
49,female,0.43921,0.43921,female
27,male,0.73027,0.73027,male
30,male,0.71463,0.71463,male
32,male,0.70952,0.70952,male
35,male,0.66879,0.66879,male
45,male,0.52245,0.52245,male
46,male,0.4755,0.4755,male
50,male,0.38734,0.38734,male
