doc_id,Gender,predictions,GT_score,Gender.1
1,male,0.96137,0.96137,male
2,male,0.88163,0.88163,male
3,female,0.87517,0.87517,female
4,male,0.86528,0.86528,male
5,male,0.86528,0.86528,male
6,male,0.86217,0.86217,male
7,female,0.85189,0.85189,female
8,male,0.81924,0.81924,male
9,male,0.80996,0.80996,male
10,female,0.80442,0.80442,female
11,female,0.78462,0.78462,female
12,female,0.78094,0.78094,female
13,male,0.78042,0.78042,male
14,female,0.77549,0.77549,female
15,male,0.77267,0.77267,male
16,male,0.76182,0.76182,male
17,female,0.75494,0.75494,female
18,female,0.75326,0.75326,female
19,female,0.75202,0.75202,female
20,male,0.74561,0.74561,male
21,male,0.74471,0.74471,male
22,male,0.73337,0.73337,male
23,female,0.72965,0.72965,female
24,male,0.72955,0.72955,male
25,female,0.72855,0.72855,female
26,male,0.72792,0.72792,male
27,female,0.71526,0.71526,female
28,male,0.7143,0.7143,male
29,female,0.71091,0.71091,female
30,male,0.70412,0.70412,male
31,female,0.69905,0.69905,female
32,female,0.69757,0.69757,female
33,male,0.6969,0.6969,male
34,male,0.68887,0.68887,male
35,female,0.68882,0.68882,female
36,male,0.68657,0.68657,male
37,female,0.6816,0.6816,female
38,female,0.66984,0.66984,female
39,female,0.64627,0.64627,female
40,female,0.6435,0.6435,female
41,male,0.62332,0.62332,male
42,female,0.61558,0.61558,female
43,male,0.60319,0.60319,male
44,male,0.59832,0.59832,male
45,female,0.56093,0.56093,female
46,female,0.50414,0.50414,female
47,female,0.48802,0.48802,female
48,male,0.48162,0.48162,male
49,female,0.46489,0.46489,female
50,male,0.45193,0.45193,male
