doc_id,Gender,predictions,GT_score,Gender.1
1,male,0.99278,0.99278,male
2,male,0.86399,0.86399,male
3,male,0.83956,0.83956,male
4,male,0.81154,0.81154,male
5,male,0.80313,0.80313,male
6,male,0.78348,0.78348,male
7,male,0.78338,0.78338,male
8,male,0.77573,0.77573,male
9,male,0.77119,0.77119,male
10,female,0.7711,0.7711,female
11,male,0.77019,0.77019,male
12,male,0.76646,0.76646,male
13,female,0.75532,0.75532,female
15,male,0.75345,0.75345,male
14,female,0.75345,0.75345,female
16,female,0.74184,0.74184,female
17,male,0.74136,0.74136,male
18,female,0.73973,0.73973,female
19,female,0.73127,0.73127,female
20,female,0.73055,0.73055,female
21,male,0.72945,0.72945,male
22,male,0.72879,0.72879,male
23,male,0.72702,0.72702,male
24,female,0.72601,0.72601,female
25,female,0.70373,0.70373,female
26,male,0.70244,0.70244,male
27,female,0.69828,0.69828,female
28,male,0.69532,0.69532,male
29,female,0.69307,0.69307,female
30,male,0.68729,0.68729,male
31,male,0.68423,0.68423,male
32,female,0.68413,0.68413,female
33,female,0.68007,0.68007,female
34,male,0.67218,0.67218,male
35,female,0.67041,0.67041,female
36,female,0.66314,0.66314,female
37,female,0.66214,0.66214,female
38,female,0.65856,0.65856,female
39,female,0.63255,0.63255,female
40,female,0.62767,0.62767,female
41,female,0.6162,0.6162,female
42,female,0.579,0.579,female
43,female,0.57633,0.57633,female
44,female,0.5551,0.5551,female
45,male,0.54506,0.54506,male
46,male,0.47196,0.47196,male
47,female,0.44667,0.44667,female
48,male,0.38509,0.38509,male
49,female,0.38022,0.38022,female
50,male,0.32533,0.32533,male
