doc_id,Gender,score
151,male,0.91715
408,male,0.89339
501,male,0.88794
658,male,0.88038
714,male,0.87761
1197,male,0.86097
1295,male,0.85878
1481,male,0.85471
1700,male,0.84883
2021,male,0.84137
2837,male,0.8266
3615,male,0.81312
3731,male,0.81168
3771,male,0.81106
3931,female,0.80843
4420,male,0.80117
4563,female,0.79935
4875,male,0.79495
5061,male,0.79266
5783,male,0.78314
6440,male,0.77602
6558,female,0.77468
6722,male,0.77296
7331,male,0.76593
7522,female,0.76407
7560,male,0.76373
7758,male,0.76163
8039,male,0.75843
8323,male,0.75546
8413,female,0.7546
8446,male,0.75417
8847,male,0.75006
9113,female,0.74729
9440,female,0.74384
9503,female,0.74327
9731,female,0.74098
10433,female,0.73371
10441,male,0.73366
10502,male,0.73294
10619,female,0.73175
10630,male,0.73165
11314,male,0.72539
11521,female,0.72334
11968,male,0.71889
12053,male,0.71817
12286,female,0.71626
12717,female,0.712
13067,male,0.7088
13086,female,0.70861
13510,female,0.70421
13702,female,0.70249
14165,female,0.69804
14411,male,0.69561
14444,male,0.69527
15102,female,0.68872
15841,female,0.68064
15990,female,0.67844
16076,female,0.67734
16257,female,0.67471
16442,female,0.67223
16633,male,0.66969
17073,female,0.66358
17210,female,0.66142
17266,female,0.66071
17452,female,0.65774
17487,female,0.65722
17501,male,0.65707
17719,male,0.65382
17788,female,0.65296
18240,female,0.64651
18435,male,0.64335
18613,male,0.64058
18727,female,0.63848
18889,female,0.63604
20236,female,0.6128
20516,female,0.60721
20782,male,0.60209
20904,female,0.59956
20949,female,0.59865
21527,female,0.58498
21637,female,0.58249
21935,male,0.57532
22182,female,0.56834
22240,male,0.56676
22248,female,0.56662
23471,female,0.52794
23539,male,0.52565
23948,female,0.51073
23956,female,0.51049
24075,female,0.50543
24185,female,0.50041
24706,female,0.47402
24798,male,0.4689
25301,male,0.4373
25547,male,0.42004
25677,female,0.40962
25798,male,0.39733
26215,male,0.349
26251,female,0.34403
26319,female,0.33222
