doc_id,Gender,predictions,GT_score,Gender.1
1,male,72529,72529,male
2,male,18840,18840,male
3,male,14999,14999,male
4,male,10833,10833,male
5,male,7660,7660,male
6,female,7451,7451,female
7,male,5677,5677,male
8,female,4742,4742,female
9,female,4606,4606,female
10,female,4583,4583,female
11,female,4547,4547,female
12,female,4408,4408,female
13,male,4310,4310,male
14,female,4283,4283,female
15,male,4281,4281,male
16,female,4230,4230,female
17,female,4180,4180,female
18,male,3814,3814,male
19,female,3813,3813,female
20,male,3808,3808,male
21,male,3800,3800,male
22,male,3727,3727,male
23,female,3692,3692,female
24,male,3634,3634,male
25,female,3620,3620,female
26,male,3436,3436,male
27,female,3400,3400,female
28,male,3399,3399,male
30,female,3166,3166,female
29,female,3166,3166,female
31,male,3074,3074,male
32,male,2987,2987,male
33,female,2876,2876,female
34,male,2755,2755,male
35,female,2720,2720,female
36,female,2645,2645,female
37,female,2600,2600,female
38,male,2583,2583,male
39,female,2500,2500,female
40,female,2366,2366,female
41,male,2360,2360,male
42,male,2267,2267,male
43,male,2237,2237,male
44,female,2226,2226,female
45,male,2185,2185,male
46,female,2107,2107,female
47,male,2014,2014,male
48,male,1977,1977,male
49,female,1937,1937,female
50,female,1907,1907,female
