doc_id,Gender,predictions,GT_score,Gender.1
1,male,15312,15312,male
2,male,9226,9226,male
3,male,8750,8750,male
4,female,7859,7859,female
5,male,7660,7660,male
6,male,6125,6125,male
7,male,6080,6080,male
8,male,5128,5128,male
9,male,4817,4817,male
10,female,4742,4742,female
11,male,4708,4708,male
12,male,4695,4695,male
13,female,4606,4606,female
14,female,4583,4583,female
15,male,4554,4554,male
16,female,4547,4547,female
17,female,4408,4408,female
18,female,4333,4333,female
19,female,4283,4283,female
20,male,4260,4260,male
21,male,4188,4188,male
22,male,4053,4053,male
23,male,3917,3917,male
24,female,3813,3813,female
25,male,3785,3785,male
26,male,3667,3667,male
27,female,3620,3620,female
28,male,3436,3436,male
29,female,3400,3400,female
30,male,3268,3268,male
32,female,3166,3166,female
31,female,3166,3166,female
33,male,3052,3052,male
34,male,2987,2987,male
35,female,2876,2876,female
36,female,2720,2720,female
37,female,2645,2645,female
38,female,2600,2600,female
39,female,2500,2500,female
40,male,2439,2439,male
41,male,2419,2419,male
42,female,2366,2366,female
43,male,2333,2333,male
44,female,2226,2226,female
45,female,2213,2213,female
46,male,2185,2185,male
47,female,2107,2107,female
48,female,2031,2031,female
49,female,1937,1937,female
50,female,1907,1907,female
