doc_id,Gender,predictions,GT_score,Gender.1
1,male,15312,15312,male
2,female,10000,10000,female
3,male,9226,9226,male
4,male,8000,8000,male
5,male,7583,7583,male
6,male,6500,6500,male
7,male,6125,6125,male
8,male,5000,5000,male
9,male,4860,4860,male
10,female,4742,4742,female
11,male,4735,4735,male
12,female,4606,4606,female
13,female,4583,4583,female
14,female,4547,4547,female
15,female,4333,4333,female
16,male,4301,4301,male
17,female,4283,4283,female
18,male,4281,4281,male
19,male,4260,4260,male
20,female,4230,4230,female
21,female,4180,4180,female
22,male,4053,4053,male
23,male,3958,3958,male
24,male,3943,3943,male
25,male,3850,3850,male
26,female,3813,3813,female
27,male,3785,3785,male
28,male,3772,3772,male
29,male,3754,3754,male
30,male,3667,3667,male
31,female,3620,3620,female
32,female,3510,3510,female
33,female,3400,3400,female
34,male,3229,3229,male
35,female,3166,3166,female
36,male,2971,2971,male
37,male,2914,2914,male
38,female,2900,2900,female
39,female,2876,2876,female
40,female,2720,2720,female
41,female,2645,2645,female
42,female,2600,2600,female
43,female,2500,2500,female
44,male,2400,2400,male
45,female,2226,2226,female
46,female,2213,2213,female
47,female,2107,2107,female
48,female,2031,2031,female
49,female,1937,1937,female
50,male,1875,1875,male
