doc_id,Gender,score
1540,male,0.85318
2639,male,0.82918
2864,male,0.82612
5177,male,0.79103
5912,female,0.78171
6807,male,0.77196
6990,male,0.77009
7075,male,0.76904
7134,male,0.76837
7188,female,0.76775
7288,male,0.76636
7816,male,0.76091
8606,female,0.75245
10014,female,0.73811
10906,male,0.72898
11034,female,0.72788
11912,male,0.71937
12673,female,0.71253
13408,female,0.70526
14531,female,0.69432
15011,female,0.68958
15085,female,0.68891
15359,female,0.68609
16060,female,0.67749
19213,male,0.6313
21138,male,0.59468
24555,male,0.48143
24799,female,0.46881
26078,female,0.3654
26333,female,0.3293
