doc_id,Gender,Career Points
1,male,19760
2,male,13859
3,male,12683
4,male,11136
5,male,7251
6,male,4797
7,male,4368
8,male,3889
9,female,2747
10,male,2376
11,female,2353
12,male,1863
13,male,1802
14,male,1436
15,male,1391
16,male,1200
17,female,1061
18,male,1052
19,female,759
20,male,700
21,female,561
22,female,521
23,male,488
24,male,397
25,female,309
26,female,272
27,female,261
28,female,224
29,male,193
30,female,163
31,male,147
32,female,147
33,male,144
34,female,107
35,female,94
36,male,85
37,female,82
38,female,65
39,female,60
40,male,58
41,female,53
42,female,50
43,male,44
44,female,30
45,female,26
46,female,24
47,female,17
48,female,16
49,male,13
50,female,9
