doc_id,Gender,ApplicantIncome
1,male,14583
2,female,10000
3,male,8333
4,male,6950
5,male,5900
6,male,4912
7,female,4742
8,male,4691
9,female,4606
10,female,4583
11,male,4452
12,female,4408
13,female,4283
14,female,4230
15,male,4188
16,male,3958
17,male,3943
18,male,3859
19,female,3813
20,female,3692
21,female,3666
22,female,3620
23,male,3596
24,female,3510
25,female,3400
26,male,3366
27,female,3326
28,female,3166
29,male,3052
30,female,2900
31,male,2896
32,female,2645
33,female,2500
34,male,2454
35,male,2419
36,female,2366
37,male,2333
38,male,2267
39,male,2253
40,male,2243
41,female,2226
42,female,2213
43,female,2107
44,male,2066
45,male,2060
46,male,2058
47,female,2031
48,female,1937
49,female,1907
50,male,1875
