doc_id,Gender,predictions,GT_score,Gender
1,male,19760,19760,male
2,male,13859,13859,male
9,female,2747,2747,female
3,male,12683,12683,male
11,female,2353,2353,female
17,female,1061,1061,female
4,male,11136,11136,male
19,female,759,759,female
5,male,7251,7251,male
21,female,561,561,female
22,female,521,521,female
6,male,4797,4797,male
25,female,309,309,female
7,male,4368,4368,male
26,female,272,272,female
27,female,261,261,female
8,male,3889,3889,male
28,female,224,224,female
10,male,2376,2376,male
30,female,163,163,female
32,female,147,147,female
12,male,1863,1863,male
34,female,107,107,female
13,male,1802,1802,male
35,female,94,94,female
37,female,82,82,female
14,male,1436,1436,male
38,female,65,65,female
15,male,1391,1391,male
39,female,60,60,female
41,female,53,53,female
16,male,1200,1200,male
42,female,50,50,female
18,male,1052,1052,male
44,female,30,30,female
45,female,26,26,female
20,male,700,700,male
46,female,24,24,female
23,male,488,488,male
47,female,17,17,female
48,female,16,16,female
24,male,397,397,male
50,female,9,9,female
29,male,193,193,male
31,male,147,147,male
33,male,144,144,male
36,male,85,85,male
40,male,58,58,male
43,male,44,44,male
49,male,13,13,male
