doc_id,Gender,predictions,GT_score,Gender.1
1,male,25192,25192,male
2,male,18203,18203,male
3,male,17345,17345,male
4,male,15136,15136,male
5,male,9732,9732,male
6,female,4004,4004,female
7,female,3534,3534,female
8,female,3353,3353,female
9,male,3119,3119,male
10,male,2963,2963,male
11,male,2942,2942,male
12,female,2849,2849,female
13,male,2595,2595,male
14,male,2118,2118,male
15,male,2083,2083,male
16,female,1935,1935,female
17,female,1915,1915,female
18,male,1654,1654,male
19,female,1186,1186,female
20,male,896,896,male
21,male,855,855,male
22,female,827,827,female
23,female,818,818,female
24,female,667,667,female
25,male,566,566,male
26,female,561,561,female
27,female,448,448,female
28,male,435,435,male
29,female,423,423,female
30,female,382,382,female
31,female,319,319,female
32,female,304,304,female
33,male,285,285,male
34,female,224,224,female
35,male,205,205,male
36,female,158,158,female
37,male,154,154,male
38,female,149,149,female
39,female,147,147,female
40,male,137,137,male
41,female,98,98,female
42,female,94,94,female
43,male,54,54,male
44,female,30,30,female
45,male,23,23,male
46,female,22,22,female
47,female,16,16,female
48,male,6,6,male
49,male,2,2,male
50,male,2,2,male
