doc_id,Gender,predictions,GT_score,Gender
1,male,26274,26274,male
2,male,15725,15725,male
5,female,5046,5046,female
3,male,9002,9002,male
8,female,2620,2620,female
12,female,1408,1408,female
4,male,6252,6252,male
13,female,1377,1377,female
6,male,4789,4789,male
14,female,1203,1203,female
16,female,1000,1000,female
7,male,2858,2858,male
17,female,866,866,female
9,male,2323,2323,male
18,female,794,794,female
19,female,705,705,female
10,male,2099,2099,male
20,female,646,646,female
11,male,1863,1863,male
21,female,636,636,female
22,female,534,534,female
15,male,1150,1150,male
23,female,509,509,female
24,female,503,503,female
25,female,448,448,female
26,female,365,365,female
27,female,261,261,female
28,male,257,257,male
29,male,232,232,male
30,male,169,169,male
31,female,158,158,female
32,female,155,155,female
33,female,147,147,female
34,male,147,147,male
35,male,122,122,male
36,female,97,97,female
37,female,82,82,female
38,male,81,81,male
39,female,79,79,female
40,male,70,70,male
42,female,55,55,female
41,male,64,64,male
46,female,25,25,female
43,male,49,49,male
44,male,43,43,male
45,male,40,40,male
47,male,6,6,male
48,male,6,6,male
49,male,4,4,male
50,male,2,2,male
