doc_id,Gender,predictions,GT_score,Gender.1
1,male,26395,26395,male
2,male,5953,5953,male
3,male,4889,4889,male
4,male,4494,4494,male
5,female,4435,4435,female
6,male,4368,4368,male
7,female,4323,4323,female
8,female,3534,3534,female
9,female,3353,3353,female
10,male,2795,2795,male
11,male,2638,2638,male
12,female,2247,2247,female
13,male,2237,2237,male
14,male,1600,1600,male
15,male,1578,1578,male
16,male,1515,1515,male
17,male,1478,1478,male
18,female,1458,1458,female
19,female,1377,1377,female
20,male,1342,1342,male
21,male,767,767,male
22,male,753,753,male
23,male,751,751,male
24,female,503,503,female
25,female,453,453,female
26,female,350,350,female
27,male,349,349,male
28,male,301,301,male
29,female,296,296,female
30,female,288,288,female
31,female,240,240,female
32,female,224,224,female
33,female,208,208,female
34,female,194,194,female
35,male,150,150,male
36,male,147,147,male
37,female,121,121,female
38,female,100,100,female
39,female,94,94,female
40,male,86,86,male
41,female,82,82,female
42,male,68,68,male
43,female,65,65,female
44,female,34,34,female
45,female,27,27,female
46,female,22,22,female
47,male,15,15,male
48,female,9,9,female
49,male,6,6,male
50,male,6,6,male
