doc_id,Gender,predictions,GT_score,Gender.1
1,male,31852,31852,male
2,male,9654,9654,male
3,male,8759,8759,male
4,female,7488,7488,female
5,male,6808,6808,male
6,male,6517,6517,male
7,male,6424,6424,male
8,male,5785,5785,male
9,male,4644,4644,male
10,male,4368,4368,male
11,male,4072,4072,male
12,female,3353,3353,female
13,female,3001,3001,female
14,female,2775,2775,female
15,male,2553,2553,male
16,male,2118,2118,male
17,female,1050,1050,female
18,female,763,763,female
19,male,625,625,male
20,male,579,579,male
21,female,542,542,female
22,female,503,503,female
23,male,440,440,male
24,male,375,375,male
25,female,350,350,female
26,male,336,336,male
27,female,309,309,female
28,female,304,304,female
29,male,285,285,male
30,male,249,249,male
31,female,247,247,female
32,female,200,200,female
33,female,194,194,female
34,male,177,177,male
35,female,123,123,female
36,female,98,98,female
37,female,94,94,female
38,female,55,55,female
40,female,35,35,female
39,male,35,35,male
41,female,34,34,female
42,female,24,24,female
43,male,20,20,male
44,female,19,19,female
45,female,17,17,female
46,male,14,14,male
47,female,10,10,female
48,male,10,10,male
49,female,9,9,female
50,male,4,4,male
