doc_id,Gender,predictions,GT_score,Gender.1
1,male,26395,26395,male
2,male,9475,9475,male
3,male,4319,4319,male
4,male,3512,3512,male
5,male,2895,2895,male
6,male,2684,2684,male
7,female,2288,2288,female
8,female,2247,2247,female
9,female,2183,2183,female
10,female,1925,1925,female
11,male,1578,1578,male
12,male,1358,1358,male
13,female,1304,1304,female
14,female,1061,1061,female
15,male,977,977,male
16,male,856,856,male
17,female,827,827,female
18,female,705,705,female
19,male,555,555,male
20,female,534,534,female
21,male,502,502,male
22,male,472,472,male
23,male,370,370,male
24,female,296,296,female
25,female,272,272,female
26,female,217,217,female
27,male,213,213,male
28,male,198,198,male
29,male,197,197,male
30,female,177,177,female
31,male,144,144,male
32,female,121,121,female
33,male,120,120,male
34,female,100,100,female
35,female,97,97,female
36,female,92,92,female
37,female,88,88,female
38,female,79,79,female
39,female,62,62,female
40,female,55,55,female
41,female,26,26,female
42,male,23,23,male
43,female,17,17,female
44,male,15,15,male
45,female,10,10,female
46,female,9,9,female
47,male,4,4,male
48,male,4,4,male
49,male,2,2,male
50,male,0,0,male
