doc_id,Gender,Career Points
1,male,38387
2,male,31852
3,male,26931
4,male,26496
5,male,26397
6,male,26395
7,male,26274
8,male,25192
9,male,19760
10,male,19655
11,male,18831
12,male,18822
13,male,18679
14,male,18203
15,male,17949
16,male,17940
17,male,17770
18,male,17345
19,male,16245
20,male,16039
21,male,15921
22,male,15725
23,male,15525
24,male,15411
25,male,15294
26,male,15291
27,male,15136
28,male,13976
29,male,13859
30,male,13858
31,male,13572
32,male,13262
33,male,13198
34,male,12925
35,male,12924
36,male,12769
37,male,12713
38,male,12683
39,male,12532
40,male,12517
41,male,12250
42,male,11995
43,male,11984
44,male,11722
45,male,11517
46,male,11456
47,male,11456
48,male,11422
49,male,11383
50,male,11344
51,male,11274
52,male,11147
53,male,11136
54,male,11101
55,male,10989
56,male,10689
57,male,10513
58,male,10444
59,male,10283
60,male,10216
61,male,10127
62,male,10105
63,male,9948
64,male,9732
65,female,9693
66,male,9654
67,male,9578
68,male,9475
69,male,9314
70,male,9240
71,male,9232
72,male,9217
73,male,9192
74,male,9161
75,male,9002
76,male,8966
77,male,8914
78,male,8901
79,male,8882
80,male,8759
81,male,8743
82,male,8695
83,male,8486
84,male,8437
85,male,8368
86,male,8211
87,male,8203
88,male,8138
89,male,7873
90,male,7868
91,male,7686
92,male,7664
93,male,7645
94,male,7639
95,male,7602
96,male,7574
97,female,7488
98,male,7430
99,male,7427
100,female,7380
101,male,7350
102,male,7316
103,male,7256
104,male,7251
105,male,7191
106,male,7083
107,male,6955
108,male,6839
109,male,6837
110,female,6811
111,male,6808
112,male,6750
113,male,6724
114,male,6663
115,male,6558
116,male,6529
117,male,6520
118,male,6517
119,male,6462
120,male,6424
121,male,6411
122,male,6252
123,male,6223
124,male,6206
125,male,6180
126,male,6136
127,male,6111
128,male,6000
129,male,5971
130,male,5970
131,male,5953
132,male,5936
133,male,5856
134,male,5833
135,male,5792
136,male,5785
137,male,5762
138,male,5757
139,male,5746
140,male,5667
141,male,5564
142,male,5519
143,male,5490
144,male,5486
145,male,5470
146,male,5393
147,male,5346
148,male,5263
149,male,5259
150,male,5243
151,male,5242
152,male,5202
153,male,5173
154,male,5086
155,female,5046
156,male,4987
157,female,4984
158,male,4978
159,male,4973
160,male,4945
161,male,4936
162,male,4914
163,male,4889
164,male,4872
165,male,4842
166,male,4797
167,male,4789
168,male,4783
169,male,4737
170,male,4731
171,male,4705
172,male,4663
173,male,4644
174,male,4637
175,male,4617
176,male,4605
177,male,4597
178,male,4567
179,male,4561
180,male,4544
181,male,4515
182,male,4494
183,male,4483
184,male,4462
185,female,4435
186,male,4410
187,male,4407
188,male,4391
189,male,4368
190,male,4349
191,female,4323
192,male,4319
193,male,4302
194,male,4219
195,male,4195
196,female,4147
197,male,4137
198,male,4115
199,male,4072
200,male,4041
201,male,4023
202,male,4019
203,female,4004
204,male,3946
205,male,3940
206,male,3898
207,male,3889
208,male,3864
209,male,3860
210,male,3826
211,male,3792
212,male,3743
213,male,3704
214,male,3679
215,male,3670
216,male,3668
217,male,3618
218,male,3615
219,male,3613
220,male,3566
221,male,3548
222,female,3534
223,male,3533
224,male,3512
225,male,3479
226,male,3464
227,male,3458
228,male,3453
229,male,3440
230,male,3407
231,male,3397
232,male,3385
233,female,3358
234,female,3353
235,male,3315
236,male,3267
237,male,3257
238,male,3251
239,male,3233
240,male,3196
241,male,3193
242,male,3130
243,male,3119
244,female,3103
245,male,3091
246,male,3088
247,male,3035
248,female,3001
249,male,2991
250,male,2963
251,male,2942
252,male,2902
253,male,2901
254,male,2895
255,male,2858
256,female,2849
257,male,2829
258,male,2829
259,male,2824
260,male,2800
261,male,2795
262,female,2775
263,male,2773
264,male,2773
265,female,2747
266,male,2742
267,male,2727
268,male,2708
269,male,2704
270,male,2702
271,male,2685
272,male,2684
273,male,2646
274,male,2639
275,male,2638
276,female,2620
277,male,2599
278,male,2595
279,male,2555
280,male,2553
281,male,2542
282,male,2505
283,male,2484
284,male,2479
285,male,2421
286,male,2383
287,male,2381
288,male,2376
289,male,2368
290,male,2364
291,male,2355
292,female,2353
293,male,2351
294,male,2329
295,male,2327
296,male,2323
297,male,2299
298,female,2288
299,male,2264
300,male,2259
301,male,2255
302,female,2247
303,male,2239
304,male,2237
305,female,2232
306,female,2219
307,male,2215
308,male,2203
309,male,2199
310,male,2186
311,female,2183
312,female,2174
313,male,2169
314,male,2135
315,male,2118
316,male,2110
317,male,2108
318,male,2099
319,male,2085
320,male,2083
321,male,2051
322,male,2016
323,male,2015
324,male,1994
325,male,1975
326,male,1964
327,male,1948
328,male,1943
329,male,1938
330,female,1935
331,female,1925
332,male,1920
333,female,1918
334,male,1916
335,female,1915
