,doc_id,Gender,predictions,GT_score,Gender.1
0,564,male,16666,16666,male
1,420,male,14880,14880,male
2,783,male,10166,10166,male
3,368,male,9323,9323,male
4,788,male,7874,7874,male
5,727,male,7500,7500,male
6,435,female,7142,7142,female
7,83,male,6000,6000,male
8,237,male,5819,5819,male
9,879,female,5530,5530,female
10,918,male,5333,5333,male
11,822,female,5062,5062,female
12,356,female,4723,4723,female
13,927,female,4709,4709,female
14,714,male,4167,4167,male
15,64,female,4166,4166,female
16,335,female,4160,4160,female
17,957,male,4158,4158,male
18,49,female,4000,4000,female
19,134,male,4000,4000,male
20,84,male,3988,3988,male
21,204,male,3975,3975,male
22,620,male,3786,3786,male
23,534,female,3652,3652,female
24,315,female,3541,3541,female
25,916,male,3400,3400,male
26,607,male,3276,3276,male
27,392,female,3180,3180,female
28,274,male,3103,3103,male
29,659,female,2779,2779,female
30,762,female,2708,2708,female
31,62,male,2609,2609,male
32,96,female,2484,2484,female
33,752,male,2463,2463,male
34,337,female,2378,2378,female
35,560,female,2378,2378,female
36,144,female,2330,2330,female
37,535,male,2239,2239,male
38,433,male,2213,2213,male
39,819,male,2166,2166,male
40,533,female,2138,2138,female
41,399,female,1963,1963,female
42,857,female,1850,1850,female
43,280,female,1811,1811,female
44,297,male,1800,1800,male
45,718,female,1762,1762,female
46,247,male,1668,1668,male
47,395,female,1500,1500,female
48,493,female,645,645,female
49,462,female,210,210,female
