doc_id,Gender,predictions,GT_score,Gender
181,male,33846,33846,male
163,male,9323,9323,male
617,female,4666,4666,female
325,female,4333,4333,female
216,female,4283,4283,female
276,female,4100,4100,female
368,male,9323,9323,male
782,female,4000,4000,female
80,female,3846,3846,female
248,female,3427,3427,female
706,female,3417,3417,female
470,male,6700,6700,male
309,female,2507,2507,female
334,female,1830,1830,female
839,male,3844,3844,male
923,male,3500,3500,male
79,male,3333,3333,male
336,male,2647,2647,male
934,male,2623,2623,male
340,male,2583,2583,male
