doc_id,D,sex,Points,Career Points
1,1,male,31852,31852
4,4,female,7488,7488
2,2,male,9654,9654
12,12,female,3353,3353
3,3,male,8759,8759
13,13,female,3001,3001
17,17,female,1050,1050
5,5,male,6808,6808
14,14,female,2775,2775
18,18,female,763,763
6,6,male,6517,6517
21,21,female,542,542
7,7,male,6424,6424
22,22,female,503,503
8,8,male,5785,5785
25,25,female,350,350
27,27,female,309,309
9,9,male,4644,4644
28,28,female,304,304
10,10,male,4368,4368
31,31,female,247,247
11,11,male,4072,4072
32,32,female,200,200
15,15,male,2553,2553
33,33,female,194,194
16,16,male,2118,2118
35,35,female,123,123
19,19,male,625,625
36,36,female,98,98
20,20,male,579,579
37,37,female,94,94
23,23,male,440,440
38,38,female,55,55
24,24,male,375,375
39,40,female,35,35
26,26,male,336,336
41,41,female,34,34
29,29,male,285,285
42,42,female,24,24
30,30,male,249,249
44,44,female,19,19
34,34,male,177,177
45,45,female,17,17
40,39,male,35,35
47,47,female,10,10
43,43,male,20,20
48,48,male,10,10
46,46,male,14,14
49,49,female,9,9
50,50,male,4,4
