doc_id,Gender,predictions,GT_score,Gender.1
1,male,72529,72529,male
2,male,20233,20233,male
3,male,18840,18840,male
4,female,18165,18165,female
5,male,16120,16120,male
6,male,15312,15312,male
7,male,14999,14999,male
8,male,14683,14683,male
9,male,14583,14583,male
10,male,12173,12173,male
11,male,10833,10833,male
13,female,10000,10000,female
12,female,10000,10000,female
14,male,9328,9328,male
15,male,9226,9226,male
16,male,9000,9000,male
17,male,8750,8750,male
18,male,8703,8703,male
19,male,8333,8333,male
20,male,8000,8000,male
21,female,7859,7859,female
22,male,7740,7740,male
23,male,7660,7660,male
24,male,7583,7583,male
25,female,7451,7451,female
26,female,7200,7200,female
27,male,7167,7167,male
28,male,7085,7085,male
29,male,6950,6950,male
30,male,6500,6500,male
31,female,6260,6260,female
32,male,6250,6250,male
33,male,6250,6250,male
34,male,6216,6216,male
35,male,6125,6125,male
36,male,6083,6083,male
37,male,6080,6080,male
38,male,5900,5900,male
39,male,5817,5817,male
40,male,5746,5746,male
41,male,5677,5677,male
42,female,5500,5500,female
43,male,5468,5468,male
44,male,5250,5250,male
45,male,5166,5166,male
46,male,5128,5128,male
47,male,5000,5000,male
49,male,5000,5000,male
48,female,5000,5000,female
50,female,4968,4968,female
51,male,4912,4912,male
52,male,4860,4860,male
53,male,4817,4817,male
54,male,4758,4758,male
55,male,4750,4750,male
56,female,4742,4742,female
57,male,4735,4735,male
58,male,4708,4708,male
59,male,4695,4695,male
60,male,4691,4691,male
61,female,4606,4606,female
62,female,4583,4583,female
63,male,4554,4554,male
64,female,4547,4547,female
65,male,4500,4500,male
66,male,4483,4483,male
67,male,4463,4463,male
68,male,4452,4452,male
69,female,4408,4408,female
70,male,4334,4334,male
71,female,4333,4333,female
72,male,4310,4310,male
73,male,4301,4301,male
74,female,4283,4283,female
75,male,4281,4281,male
76,male,4260,4260,male
77,male,4243,4243,male
78,female,4230,4230,female
79,male,4200,4200,male
80,male,4188,4188,male
81,female,4180,4180,female
82,male,4053,4053,male
83,male,4050,4050,male
84,male,3958,3958,male
85,male,3948,3948,male
86,male,3943,3943,male
87,male,3917,3917,male
88,male,3900,3900,male
89,male,3863,3863,male
90,male,3859,3859,male
91,male,3850,3850,male
92,male,3814,3814,male
93,female,3813,3813,female
94,male,3808,3808,male
95,male,3800,3800,male
96,male,3785,3785,male
97,male,3772,3772,male
98,male,3754,3754,male
99,male,3727,3727,male
100,male,3708,3708,male
101,male,3708,3708,male
102,female,3692,3692,female
103,male,3667,3667,male
104,female,3666,3666,female
105,male,3634,3634,male
107,male,3620,3620,male
106,female,3620,3620,female
108,male,3617,3617,male
109,male,3613,3613,male
110,male,3596,3596,male
111,male,3588,3588,male
112,male,3571,3571,male
113,male,3547,3547,male
114,male,3523,3523,male
115,female,3510,3510,female
116,male,3466,3466,male
117,male,3445,3445,male
118,male,3436,3436,male
119,female,3400,3400,female
120,male,3399,3399,male
121,male,3366,3366,male
122,female,3326,3326,female
123,male,3321,3321,male
124,male,3315,3315,male
125,male,3268,3268,male
126,male,3229,3229,male
127,male,3189,3189,male
128,male,3173,3173,male
129,female,3166,3166,female
130,female,3166,3166,female
131,male,3158,3158,male
132,male,3089,3089,male
133,male,3074,3074,male
134,male,3052,3052,male
135,male,3010,3010,male
136,male,2987,2987,male
137,male,2971,2971,male
138,male,2914,2914,male
139,female,2900,2900,female
140,male,2896,2896,male
141,female,2876,2876,female
142,male,2833,2833,male
143,male,2787,2787,male
144,male,2769,2769,male
145,male,2768,2768,male
146,male,2755,2755,male
147,female,2720,2720,female
148,female,2645,2645,female
149,female,2600,2600,female
150,male,2583,2583,male
151,female,2500,2500,female
152,male,2454,2454,male
153,male,2439,2439,male
154,male,2419,2419,male
155,male,2400,2400,male
156,female,2366,2366,female
157,male,2366,2366,male
158,male,2360,2360,male
159,male,2346,2346,male
160,male,2333,2333,male
161,male,2333,2333,male
162,male,2301,2301,male
163,male,2267,2267,male
164,male,2253,2253,male
165,male,2243,2243,male
166,male,2237,2237,male
167,female,2226,2226,female
168,female,2213,2213,female
169,male,2185,2185,male
170,male,2165,2165,male
171,female,2107,2107,female
172,male,2066,2066,male
173,male,2060,2060,male
174,male,2058,2058,male
175,female,2031,2031,female
176,male,2014,2014,male
177,male,2000,2000,male
178,male,1977,1977,male
179,male,1958,1958,male
180,female,1937,1937,female
181,female,1907,1907,female
182,male,1875,1875,male
183,male,1863,1863,male
184,male,1836,1836,male
185,male,1828,1828,male
186,male,1820,1820,male
187,male,1792,1792,male
188,male,1782,1782,male
189,male,1300,1300,male
190,male,1299,1299,male
191,male,1141,1141,male
192,male,0,0,male
