doc_id,D,sex,score_x,score_y
1,1,male,0.99756,0.99756
2,2,male,0.89783,0.89783
6,6,female,0.84075,0.84075
3,3,male,0.86638,0.86638
7,7,male,0.82799,0.82799
8,8,male,0.81972,0.81972
4,4,male,0.84869,0.84869
9,9,male,0.80002,0.80002
5,5,male,0.84783,0.84783
10,10,female,0.79079,0.79079
11,11,female,0.78754,0.78754
12,12,female,0.78133,0.78133
13,13,male,0.77153,0.77153
14,14,male,0.76928,0.76928
15,15,female,0.75986,0.75986
16,16,female,0.75728,0.75728
17,17,male,0.75709,0.75709
18,18,female,0.75685,0.75685
19,19,female,0.75513,0.75513
20,20,female,0.74447,0.74447
21,21,female,0.73806,0.73806
22,22,female,0.73548,0.73548
23,23,male,0.73333,0.73333
24,24,male,0.73204,0.73204
25,25,male,0.72515,0.72515
26,26,male,0.72501,0.72501
27,27,male,0.72353,0.72353
28,28,female,0.71674,0.71674
29,29,female,0.71612,0.71612
30,30,female,0.71033,0.71033
31,31,male,0.7023,0.7023
32,32,female,0.7022,0.7022
33,33,female,0.68777,0.68777
34,34,male,0.68514,0.68514
35,35,male,0.68255,0.68255
36,36,female,0.67223,0.67223
37,37,female,0.66463,0.66463
38,38,male,0.65444,0.65444
39,39,female,0.64522,0.64522
40,40,male,0.6444,0.6444
41,41,male,0.64393,0.64393
42,42,female,0.64283,0.64283
43,43,female,0.57805,0.57805
44,44,female,0.56117,0.56117
45,45,female,0.55027,0.55027
46,46,female,0.52971,0.52971
47,47,male,0.50174,0.50174
48,48,male,0.49056,0.49056
49,49,male,0.4526,0.4526
50,50,female,0.44591,0.44591
