doc_id,sex,score,ZFYA
1,male,3.11,3.11
2,female,2.32,2.32
4,female,1.56,1.56
5,female,1.55,1.55
6,female,1.48,1.48
7,female,1.39,1.39
8,female,1.33,1.33
3,male,1.68,1.68
9,female,1.02,1.02
11,female,0.68,0.68
10,male,0.7,0.7
15,female,0.45,0.45
16,female,0.41,0.41
18,female,0.23,0.23
12,male,0.58,0.58
13,male,0.5,0.5
14,male,0.49,0.49
20,female,0.19,0.19
17,male,0.32,0.32
19,male,0.22,0.22
25,female,-0.03,-0.03
21,male,0.15,0.15
26,female,-0.07,-0.07
22,male,0.15,0.15
23,male,0.13,0.13
24,male,0.13,0.13
27,male,-0.15,-0.15
29,female,-0.25,-0.25
30,female,-0.25,-0.25
33,female,-0.35,-0.35
28,male,-0.22,-0.22
31,male,-0.25,-0.25
35,female,-0.44,-0.44
32,male,-0.29,-0.29
34,male,-0.41,-0.41
36,male,-0.45,-0.45
37,male,-0.46,-0.46
38,female,-0.48,-0.48
40,female,-0.82,-0.82
41,female,-0.85,-0.85
39,male,-0.6,-0.6
44,female,-0.95,-0.95
42,male,-0.86,-0.86
43,male,-0.91,-0.91
45,male,-1.03,-1.03
46,female,-1.08,-1.08
47,male,-1.1,-1.1
48,female,-1.4,-1.4
49,male,-1.42,-1.42
50,female,-2.06,-2.06
