doc_id,sex,score,ZFYA
1,male,3.11,3.11
2,male,1.74,1.74
4,female,1.4,1.4
3,male,1.41,1.41
6,female,1.37,1.37
7,female,1.36,1.36
8,female,1.34,1.34
9,female,1.27,1.27
10,female,1.27,1.27
5,male,1.38,1.38
12,female,1.11,1.11
11,male,1.2,1.2
16,female,0.85,0.85
14,male,1.05,1.05
13,male,1.05,1.05
17,male,0.85,0.85
15,male,0.92,0.92
20,female,0.63,0.63
18,male,0.74,0.74
23,female,0.43,0.43
19,male,0.69,0.69
24,female,0.34,0.34
21,male,0.62,0.62
26,female,0.26,0.26
27,female,0.16,0.16
28,female,0.16,0.16
22,male,0.49,0.49
25,male,0.29,0.29
30,female,0.0,0.0
29,male,0.15,0.15
31,female,-0.03,-0.03
34,female,-0.22,-0.22
37,female,-0.32,-0.32
32,male,-0.08,-0.08
39,female,-0.49,-0.49
33,male,-0.17,-0.17
41,female,-0.54,-0.54
35,male,-0.29,-0.29
42,female,-0.55,-0.55
36,male,-0.31,-0.31
38,male,-0.4,-0.4
40,male,-0.52,-0.52
43,male,-0.59,-0.59
45,female,-0.82,-0.82
46,female,-0.85,-0.85
47,female,-0.98,-0.98
44,male,-0.68,-0.68
48,female,-1.21,-1.21
49,male,-1.21,-1.21
50,male,-1.63,-1.63
