doc_id,D,sex,Points,Career Points
1,1,male,26395,26395
2,2,male,10216,10216
9,9,female,4435,4435
3,3,male,10105,10105
10,10,female,4004,4004
11,11,female,3103,3103
4,4,male,8882,8882
18,18,female,1918,1918
5,5,male,8203,8203
19,19,female,1445,1445
22,22,female,1050,1050
6,6,male,6808,6808
23,23,female,1000,1000
7,7,male,5486,5486
24,24,female,676,676
25,25,female,500,500
8,8,male,5243,5243
27,27,female,382,382
28,28,female,349,349
12,12,male,2963,2963
29,29,female,346,346
13,13,male,2727,2727
31,31,female,261,261
14,14,male,2685,2685
33,33,female,163,163
15,15,male,2639,2639
35,35,female,121,121
16,16,male,2264,2264
38,38,female,79,79
17,17,male,2016,2016
40,40,female,68,68
20,20,male,1090,1090
41,41,female,68,68
21,21,male,1080,1080
42,42,female,49,49
26,26,male,455,455
44,44,female,38,38
30,30,male,301,301
45,45,female,35,35
46,46,female,27,27
32,32,male,222,222
47,47,female,26,26
34,34,male,146,146
48,48,female,16,16
36,36,male,103,103
37,37,male,90,90
39,39,male,78,78
43,43,male,42,42
49,49,female,14,14
50,50,male,9,9
